Sender,Total,align_raw,align_pct,bash_raw,bash_pct
Ken Calvert,113,91,0.8053,7,0.0619
Sean Duffy,94,83,0.883,1,0.0106
Robert Aderholt,22,18,0.8182,2,0.0909
Randy Neugebauer,320,217,0.6781,23,0.0719
Tim Ryan,8,6,0.75,1,0.125
Joaquin Castro,36,35,0.9722,0,0.0
Debbie Wasserman Schultz,85,75,0.8824,1,0.0118
Mike Quigley,45,44,0.9778,0,0.0
Michael Honda,87,69,0.7931,3,0.0345
Joe Walsh,66,53,0.803,7,0.1061
Roger Williams,22,11,0.5,1,0.0455
Charles Grassley,150,130,0.8667,11,0.0733
Julia Brownley,51,49,0.9608,0,0.0
Dennis Ross,59,54,0.9153,1,0.0169
Tim Johnson,78,75,0.9615,0,0.0
Jaime Herrera Beutler,60,59,0.9833,0,0.0
Loretta Sanchez,175,147,0.84,6,0.0343
Tim Huelskamp,268,165,0.6157,39,0.1455
Richard Durbin,67,60,0.8955,2,0.0299
Thomas Massie,96,92,0.9583,0,0.0
Jon Tester,150,145,0.9667,2,0.0133
K. Conaway,87,61,0.7011,8,0.092
Brendan Boyle,4,4,1.0,0,0.0
Judy Biggert,168,103,0.6131,32,0.1905
Mo Brooks,35,30,0.8571,1,0.0286
Mark Schauer,11,11,1.0,0,0.0
Tim Walberg,213,177,0.831,9,0.0423
David Scott,54,46,0.8519,1,0.0185
Scott Brown,27,27,1.0,0,0.0
Deborah Halvorson,30,29,0.9667,0,0.0
John Yarmuth,40,38,0.95,0,0.0
Theodore Deutch,108,99,0.9167,1,0.0093
Jeanne Shaheen,87,83,0.954,0,0.0
John Dingell,34,23,0.6765,2,0.0588
Marsha Blackburn,78,67,0.859,4,0.0513
Al Green,113,104,0.9204,1,0.0088
Michael Doyle,22,19,0.8636,1,0.0455
Charles Gonzalez,38,34,0.8947,1,0.0263
Michael Fitzpatrick,205,190,0.9268,3,0.0146
Juan Vargas,14,13,0.9286,0,0.0
John Walsh,4,2,0.5,0,0.0
Robert Scott,7,7,1.0,0,0.0
Steven Rothman,12,12,1.0,0,0.0
Jerrold Nadler,26,23,0.8846,0,0.0
Luke Messer,24,18,0.75,2,0.0833
Bernard Sanders,241,205,0.8506,5,0.0207
James Risch,6,4,0.6667,0,0.0
Marc Veasey,67,65,0.9701,2,0.0299
Tom MacArthur,24,18,0.75,1,0.0417
Gabrielle Giffords,33,31,0.9394,0,0.0
Mia Love,4,4,1.0,0,0.0
Claire McCaskill,95,92,0.9684,0,0.0
Lois Capps,190,170,0.8947,4,0.0211
John Carter,120,87,0.725,6,0.05
Jeff Fortenberry,201,201,1.0,0,0.0
Alcee Hastings,9,8,0.8889,0,0.0
Garret Graves,5,4,0.8,1,0.2
Mike Thompson,19,18,0.9474,0,0.0
Bobby Bright,62,58,0.9355,0,0.0
Tom Cole,71,54,0.7606,4,0.0563
Tammy Duckworth,75,73,0.9733,0,0.0
Henry Waxman,12,12,1.0,0,0.0
Marcy Kaptur,45,44,0.9778,0,0.0
Bob Corker,197,122,0.6193,47,0.2386
Harry Reid,243,226,0.93,3,0.0123
Steny Hoyer,111,95,0.8559,4,0.036
Jim Bridenstine,42,33,0.7857,3,0.0714
William Owens,62,61,0.9839,0,0.0
Aaron Schock,55,42,0.7636,6,0.1091
Elise Stefanik,30,29,0.9667,0,0.0
Blake Farenthold,57,54,0.9474,0,0.0
Corrine Brown,35,30,0.8571,2,0.0571
Alan Lowenthal,97,61,0.6289,12,0.1237
Martha McSally,19,19,1.0,0,0.0
Michael Burgess,277,251,0.9061,12,0.0433
Nita Lowey,157,150,0.9554,2,0.0127
Mike Lee,105,93,0.8857,3,0.0286
Brad Wenstrup,32,23,0.7188,4,0.125
Patrick Murphy,125,118,0.944,0,0.0
Steve Russell,29,20,0.6897,1,0.0345
John Kline,150,131,0.8733,8,0.0533
Anh Cao,123,108,0.878,1,0.0081
Vicky Hartzler,258,157,0.6085,37,0.1434
Colleen Hanabusa,5,3,0.6,1,0.2
Barbara Boxer,647,584,0.9026,6,0.0093
Charles Djou,8,8,1.0,0,0.0
Sean Maloney,44,44,1.0,0,0.0
John Fleming,31,27,0.871,2,0.0645
Mike McIntyre,157,153,0.9745,0,0.0
David Schweikert,94,76,0.8085,5,0.0532
Michael McMahon,11,10,0.9091,0,0.0
Danny Davis,2,2,1.0,0,0.0
Kenny Marchant,186,179,0.9624,2,0.0108
Daniel Maffei,31,28,0.9032,1,0.0323
Henry Brown,18,16,0.8889,0,0.0
Robert Hurt,276,273,0.9891,0,0.0
Ike Skelton,20,20,1.0,0,0.0
Joe Manchin,3,3,1.0,0,0.0
Mary Landrieu,144,121,0.8403,7,0.0486
Glenn Nye,13,12,0.9231,1,0.0769
Diane Black,239,150,0.6276,33,0.1381
Jim Jordan,1,1,1.0,0,0.0
Peter Roskam,116,107,0.9224,4,0.0345
Joe Courtney,255,244,0.9569,0,0.0
Christopher Gibson,88,80,0.9091,2,0.0227
John Conyers,22,20,0.9091,0,0.0
Michael Crapo,60,42,0.7,11,0.1833
Will Hurd,1,1,1.0,0,0.0
Mazie Hirono,55,48,0.8727,1,0.0182
Virginia Foxx,87,67,0.7701,4,0.046
Rush Holt,242,229,0.9463,1,0.0041
Mick Mulvaney,60,51,0.85,4,0.0667
Todd Young,58,53,0.9138,0,0.0
Steve Scalise,142,95,0.669,27,0.1901
Richard Burr,178,153,0.8596,9,0.0506
Beto O'Rourke,20,20,1.0,0,0.0
Thomas Harkin,2,2,1.0,0,0.0
Patrick Toomey,125,80,0.64,13,0.104
Jason Smith,48,48,1.0,0,0.0
Steve King,70,42,0.6,8,0.1143
Dennis Cardoza,44,32,0.7273,3,0.0682
Chaka Fattah,47,39,0.8298,2,0.0426
Mike Bost,18,17,0.9444,0,0.0
Daniel Kildee,12,12,1.0,0,0.0
John Duncan,15,12,0.8,0,0.0
John Linder,7,6,0.8571,0,0.0
James Barrett,10,8,0.8,1,0.1
Dennis Kucinich,210,198,0.9429,1,0.0048
Mike Kelly,263,229,0.8707,20,0.076
Ron Barber,21,20,0.9524,0,0.0
Travis Childers,50,49,0.98,1,0.02
Steve Driehaus,3,3,1.0,0,0.0
George Butterfield,47,46,0.9787,0,0.0
Mike Coffman,217,162,0.7465,14,0.0645
Jim Matheson,143,142,0.993,0,0.0
Dave Trott,27,27,1.0,0,0.0
Russ Carnahan,30,30,1.0,0,0.0
Alan Franken,58,48,0.8276,6,0.1034
Eliot Engel,146,127,0.8699,1,0.0068
Janice Schakowsky,42,40,0.9524,0,0.0
Lincoln Davis,3,3,1.0,0,0.0
Maria Cantwell,18,13,0.7222,3,0.1667
David Dreier,8,8,1.0,0,0.0
Steve Cohen,376,224,0.5957,47,0.125
John Sullivan,43,29,0.6744,4,0.093
Todd Tiahrt,38,25,0.6579,4,0.1053
Kevin Brady,137,112,0.8175,4,0.0292
Samuel Brownback,4,3,0.75,1,0.25
Tom Rice,188,166,0.883,4,0.0213
John Campbell,187,154,0.8235,7,0.0374
French Hill,4,4,1.0,0,0.0
