Year,Month,Total_word,Total_freq,Republican_word,Republican_freq,Democrat_word,Democrat_freq,Male_word,Male_freq,Female_word,Female_freq,Senate_word,Senate_freq,House_word,House_freq
2014,11,immigration,379,veterans,307,health,79,veterans,319,immigration,70,veterans,91,immigration,316
2014,11,veterans,377,immigration,301,immigration,78,immigration,309,veterans,58,care,66,work,297
2014,11,work,343,people,299,veterans,70,people,290,action,57,health,63,veterans,285
2014,11,people,338,work,283,action,62,work,290,work,53,immigration,63,people,280
2014,11,executive,277,executive,241,work,60,executive,244,people,48,people,58,executive,220
2014,11,health,237,pipeline,218,open,50,pipeline,208,open,33,executive,56,action,190
2014,11,pipeline,234,country,200,families,44,health,205,executive,33,pm,54,open,183
2014,11,country,227,keystone,184,coverage,40,country,203,health,32,pipeline,52,pipeline,182
2014,11,action,226,jobs,183,people,39,keystone,188,security,30,country,51,country,176
2014,11,keystone,210,law,179,reform,39,jobs,186,states,30,states,51,health,172
2015,3,budget,794,budget,757,rights,85,budget,695,budget,99,budget,98,budget,695
2015,3,security,403,security,348,work,71,security,354,work,63,iran,77,security,363
2015,3,open,350,states,305,tax,63,states,311,rights,56,amendment,77,open,337
2015,3,states,344,open,304,students,59,open,294,open,56,state,67,work,300
2015,3,work,340,iran,300,security,55,state,293,care,53,health,66,funding,289
2015,3,state,329,care,296,funding,49,iran,287,security,49,dr,62,states,283
2015,3,care,328,state,286,years,47,funding,283,people,48,care,61,care,267
2015,3,iran,323,nuclear,272,open,46,work,277,health,48,association,61,years,261
2015,3,funding,321,funding,272,department,43,care,275,years,47,program,60,state,260
2015,3,health,312,health,270,state,43,health,264,students,42,states,59,passed,257
2014,12,funding,338,executive,306,law,65,executive,284,funding,63,care,56,funding,305
2014,12,executive,337,funding,281,work,58,funding,275,work,57,work,51,executive,294
2014,12,immigration,325,immigration,275,funding,57,immigration,269,immigration,56,committee,51,immigration,290
2014,12,work,303,passed,250,space,54,passed,249,passed,53,veterans,49,passed,270
2014,12,passed,302,work,245,passed,52,work,246,executive,53,years,48,work,250
2014,12,law,279,people,214,support,51,law,244,security,47,state,44,law,234
2014,12,people,254,law,214,immigration,50,people,220,action,45,health,43,people,212
