Year,Month,Word,Frequency
2014,11,immigration,41
2014,11,veterans,34
2014,11,new,31
2014,11,action,31
2014,11,health,27
2014,11,congress,25
2014,11,work,23
2014,11,district,23
2014,11,coverage,22
2014,11,last,22
2015,03,district,44
2015,03,congress,32
2015,03,rights,28
2015,03,work,27
2015,03,national,27
2015,03,health,25
2015,03,local,25
2015,03,congressional,24
2015,03,also,24
2015,03,community,22
2014,12,new,40
2014,12,bill,32
2014,12,federal,29
2014,12,act,29
2014,12,congress,27
2014,12,district,26
2014,12,senate,21
2014,12,work,20
2014,12,law,20
2014,12,passed,20
2010,07,street,37
2010,07,health,37
2010,07,act,32
2010,07,help,32
2010,07,law,31
2010,07,reform,28
2010,07,wall,27
2010,07,new,26
2010,07,congress,26
2010,07,financial,25
2014,02,congress,28
2014,02,state,26
2014,02,new,25
2014,02,security,25
2014,02,bill,24
2014,02,federal,22
2014,02,last,22
2014,02,murphy,20
2014,02,health,19
2014,02,jobs,18
2012,10,new,33
2012,10,federal,22
2012,10,state,22
2012,10,san,20
2012,10,emergency,17
2012,10,october,16
2012,10,congress,16
2012,10,last,16
2012,10,hurricane,15
2012,10,help,14
2011,09,jobs,142
2011,09,work,75
2011,09,new,64
2011,09,american,64
2011,09,congress,63
2011,09,act,54
2011,09,economy,42
2011,09,small,37
2011,09,businesses,37
2011,09,plan,33
2013,01,violence,69
2013,01,new,58
2013,01,gun,53
2013,01,congress,42
2013,01,women,35
2013,01,gwen,31
2013,01,go,30
2013,01,health,29
2013,01,january,28
2013,01,dr,27
2013,04,new,60
2013,04,women,52
2013,04,act,51
2013,04,work,44
2013,04,district,36
2013,04,information,35
2013,04,families,34
2013,04,gwen,32
2013,04,legislation,31
2013,04,gun,31
2014,01,act,28
2014,01,work,27
2014,01,bill,27
2014,01,congress,25
2014,01,congressional,24
2014,01,law,18
2014,01,standing,18
2014,01,federal,17
2014,01,women,17
2014,01,farm,17
2014,06,veterans,67
2014,06,health,50
2014,06,act,43
2014,06,new,36
2014,06,help,35
2014,06,also,35
2014,06,care,34
2014,06,congress,33
2014,06,bill,31
2014,06,legislation,30
2012,05,may,74
2012,05,act,73
2012,05,haiti,43
2012,05,congress,43
2012,05,women,41
2012,05,new,39
2012,05,congresswoman,39
2012,05,security,35
2012,05,legislation,33
2012,05,bill,31
2010,10,women,25
2010,10,veterans,22
2010,10,social,22
2010,10,security,22
2010,10,act,19
2010,10,congress,18
2010,10,million,16
2010,10,jobs,15
2010,10,signed,15
2010,10,law,14
2013,02,congress,59
2013,02,violence,52
2013,02,act,51
2013,02,gun,46
2013,02,american,44
2013,02,new,42
2013,02,also,42
2013,02,state,40
2013,02,jobs,38
2013,02,district,35
2011,07,debt,66
2011,07,budget,42
2011,07,spending,31
2011,07,deficit,30
2011,07,national,29
2011,07,trillion,28
2011,07,cuts,26
2011,07,congress,24
2011,07,tax,23
2011,07,dont,22
2012,03,health,141
2012,03,care,85
2012,03,insurance,54
2012,03,oil,52
2012,03,coverage,50
2012,03,district,45
2012,03,million,41
2012,03,new,40
2012,03,americans,40
2012,03,congresswoman,39
2010,06,new,38
2010,06,act,32
2010,06,gulf,28
2010,06,jobs,28
2010,06,congress,26
2010,06,oil,25
2010,06,businesses,25
2010,06,bp,24
2010,06,small,23
2010,06,veterans,23
2013,08,alzheimers,25
2013,08,act,19
2013,08,disease,19
2013,08,work,18
2013,08,gwen,18
2013,08,updates,16
2013,08,august,16
2013,08,pines,16
2013,08,families,14
2013,08,city,14
2014,10,health,22
2014,10,kansas,20
2014,10,ebola,19
2014,10,new,18
2014,10,october,16
2014,10,district,16
2014,10,state,16
2014,10,information,14
2014,10,school,13
2014,10,lgbt,13
2014,07,children,22
2014,07,care,21
2014,07,congress,20
2014,07,legislation,18
2014,07,va,18
2014,07,help,17
2014,07,new,16
2014,07,veterans,15
2014,07,health,15
2014,07,country,13
2012,09,new,20
2012,09,women,19
2012,09,act,16
2012,09,health,16
2012,09,congress,15
2012,09,bill,14
2012,09,work,13
2012,09,care,13
2012,09,cancer,12
2012,09,national,12
2009,10,health,57
2009,10,care,48
2009,10,act,45
2009,10,legislation,34
2009,10,bill,27
2009,10,financial,23
2009,10,district,22
2009,10,federal,22
2009,10,congress,22
2009,10,law,20
2012,04,congress,33
2012,04,work,27
2012,04,gwen,27
2012,04,students,27
2012,04,act,24
2012,04,day,23
2012,04,families,22
2012,04,updates,21
2012,04,also,21
2012,04,district,20
2012,12,fiscal,37
2012,12,cliff,35
2012,12,cuts,29
2012,12,bill,26
2012,12,like,25
2012,12,go,23
2012,12,updates,22
2012,12,work,22
2012,12,year,21
2012,12,congress,20
2013,05,act,31
2013,05,health,30
2013,05,may,27
2013,05,care,25
2013,05,veterans,24
2013,05,new,23
2013,05,congress,23
2013,05,families,21
2013,05,time,20
2013,05,va,20
2012,02,new,29
2012,02,act,28
2012,02,energy,24
2012,02,work,23
2012,02,congress,23
2012,02,legislation,22
2012,02,economy,22
2012,02,american,22
2012,02,jobs,21
2012,02,health,20
2010,01,care,49
2010,01,health,46
2010,01,bill,38
2010,01,passed,22
2010,01,new,21
2010,01,act,21
2010,01,congress,21
2010,01,energy,21
2010,01,year,21
2010,01,law,20
2012,11,new,21
2012,11,tickets,11
2012,11,federal,11
2012,11,veterans,9
2012,11,visit,9
2012,11,help,9
2012,11,cuts,9
2012,11,also,8
2012,11,state,8
2012,11,make,8
2011,11,veterans,78
2011,11,jobs,66
2011,11,act,46
2011,11,federal,39
2011,11,american,39
2011,11,congress,36
2011,11,help,34
2011,11,support,32
2011,11,work,31
2011,11,health,31
2013,03,care,41
2013,03,health,36
2013,03,women,33
2013,03,district,29
2013,03,act,29
2013,03,congress,26
2013,03,rights,25
2013,03,budget,25
2013,03,years,23
2013,03,san,23
2013,06,new,30
2013,06,health,30
2013,06,gwen,29
2013,06,act,26
2013,06,congress,26
2013,06,may,20
2013,06,senator,20
2013,06,stabenow,20
2013,06,national,18
2013,06,bridge,17
2013,10,government,70
2013,10,shutdown,59
2013,10,continue,39
2013,10,federal,35
2013,10,health,35
2013,10,benefits,31
2013,10,district,28
2013,10,women,28
2013,10,care,27
2013,10,congress,27
2012,08,tax,40
2012,08,health,37
2012,08,women,35
2012,08,percent,31
2012,08,new,30
2012,08,jobs,26
2012,08,care,25
2012,08,act,25
2012,08,plan,24
2012,08,gwen,22
2015,01,congress,51
2015,01,work,47
2015,01,new,39
2015,01,bill,36
2015,01,families,33
2015,01,veterans,31
2015,01,district,31
2015,01,also,31
2015,01,community,30
2015,01,make,29
2009,11,care,72
2009,11,health,72
2009,11,new,41
2009,11,legislation,33
2009,11,reform,28
2009,11,senator,25
2009,11,bill,25
2009,11,senate,22
2009,11,act,20
2009,11,insurance,17
2012,07,care,46
2012,07,families,44
2012,07,congress,41
2012,07,health,39
2012,07,affordable,36
2012,07,tax,36
2012,07,americans,32
2012,07,new,31
2012,07,help,29
2012,07,act,29
2011,10,jobs,71
2011,10,american,58
2011,10,help,49
2011,10,act,44
2011,10,murphy,44
2011,10,bill,41
2011,10,new,40
2011,10,congress,36
2011,10,make,35
2011,10,businesses,34
2013,09,health,40
2013,09,syria,29
2013,09,congress,27
2013,09,military,22
2013,09,open,18
2013,09,government,17
2013,09,obamacare,16
2013,09,care,16
2013,09,action,16
2013,09,new,14
2011,06,energy,26
2011,06,veterans,23
2011,06,san,21
2011,06,congress,19
2011,06,american,18
2011,06,day,18
2011,06,clean,17
2011,06,francisco,17
2011,06,updates,15
2011,06,last,14
2011,04,budget,47
2011,04,government,38
2011,04,congress,33
2011,04,shutdown,30
2011,04,lee,30
2011,04,april,25
2011,04,health,23
2011,04,barbara,20
2011,04,medicare,20
2011,04,republicans,18
2015,06,veterans,11
2015,06,congressional,11
2015,06,also,10
2015,06,homeland,9
2015,06,los,9
2015,06,water,8
2015,06,work,8
2015,06,health,8
2015,06,bill,8
2015,06,angeles,8
2013,12,new,20
2013,12,act,15
2013,12,federal,12
2013,12,housing,10
2013,12,women,9
2013,12,local,9
2013,12,project,9
2013,12,year,8
2013,12,overdraft,8
2013,12,billion,8
2014,05,women,34
2014,05,veterans,33
2014,05,national,31
2014,05,school,22
2014,05,new,22
2014,05,congress,22
2014,05,help,21
2014,05,also,21
2014,05,families,20
2014,05,may,20
2011,01,health,45
2011,01,care,36
2011,01,new,22
2011,01,congress,22
2011,01,law,20
2011,01,bill,19
2011,01,act,18
2011,01,reform,17
2011,01,insurance,17
2011,01,san,16
2015,04,national,18
2015,04,congress,15
2015,04,workers,14
2015,04,voyageurs,14
2015,04,nuclear,14
2015,04,new,13
2015,04,work,13
2015,04,secretary,13
2015,04,security,13
2015,04,water,13
2013,11,veterans,76
2013,11,help,61
2013,11,health,60
2013,11,care,56
2013,11,congress,56
2013,11,bill,47
2013,11,also,46
2013,11,lucas,45
2013,11,economy,45
2013,11,budget,44
2012,06,act,60
2012,06,health,45
2012,06,congresswoman,41
2012,06,care,38
2012,06,work,34
2012,06,new,33
2012,06,district,33
2012,06,rep,33
2012,06,policy,32
2012,06,visit,31
2010,05,new,30
2010,05,health,25
2010,05,care,19
2010,05,home,17
2010,05,veterans,16
2010,05,legislation,16
2010,05,services,15
2010,05,military,13
2010,05,receive,12
2010,05,law,12
2011,08,jobs,25
2011,08,stabenow,19
2011,08,senator,19
2011,08,new,17
2011,08,economy,15
2011,08,congresswoman,14
2011,08,economic,13
2011,08,agreement,13
2011,08,barbara,12
2011,08,michigan,12
2011,02,updates,27
2011,02,transportation,26
2011,02,new,21
2011,02,visit,20
2011,02,go,20
2011,02,judge,19
2011,02,senator,18
2011,02,congress,18
2011,02,website,17
2011,02,epa,17
2013,07,women,46
2013,07,care,33
2013,07,act,33
2013,07,health,28
2013,07,affordable,26
2013,07,families,25
2013,07,make,20
2013,07,american,20
2013,07,congress,19
2013,07,economic,18
2010,03,health,141
2010,03,care,95
2010,03,insurance,73
2010,03,coverage,46
2010,03,reform,45
2010,03,new,43
2010,03,bill,37
2010,03,tax,33
2010,03,plans,31
2010,03,receive,31
2014,03,new,28
2014,03,district,22
2014,03,federal,22
2014,03,act,20
2014,03,affordable,19
2014,03,care,18
2014,03,san,17
2014,03,health,17
2014,03,march,16
2014,03,connecticut,15
2010,04,new,63
2010,04,act,34
2010,04,senator,33
2010,04,federal,29
2010,04,gillibrand,28
2010,04,year,26
2010,04,jobs,26
2010,04,legislation,25
2010,04,health,24
2010,04,tax,23
2010,11,unemployment,4
2010,11,fairness,4
2010,11,families,4
2010,11,work,4
2010,11,get,4
2010,11,sign,3
2010,11,extend,3
2010,11,benefits,3
2010,11,receive,3
2010,11,equal,3
2015,02,health,35
2015,02,tax,34
2015,02,public,25
2015,02,get,24
2015,02,also,23
2015,02,new,19
2015,02,federal,18
2015,02,congress,18
2015,02,help,18
2015,02,free,17
2015,05,district,16
2015,05,public,13
2015,05,federal,12
2015,05,american,11
2015,05,security,11
2015,05,may,10
2015,05,national,10
