Year,Month,Word,Frequency
2014,11,congress,74
2014,11,district,57
2014,11,health,52
2014,11,new,51
2014,11,bill,49
2014,11,work,37
2014,11,federal,37
2014,11,act,37
2014,11,immigration,37
2014,11,veterans,36
2015,03,congress,91
2015,03,bill,77
2015,03,tax,59
2015,03,rights,57
2015,03,new,56
2015,03,district,56
2015,03,last,49
2015,03,security,46
2015,03,work,44
2015,03,act,44
2014,12,congress,71
2014,12,bill,71
2014,12,space,50
2014,12,funding,47
2014,12,law,45
2014,12,also,43
2014,12,act,40
2014,12,work,38
2014,12,support,38
2014,12,immigration,38
2010,07,act,113
2010,07,new,96
2010,07,federal,82
2010,07,financial,79
2010,07,bill,74
2010,07,street,73
2010,07,legislation,67
2010,07,also,60
2010,07,law,59
2010,07,energy,59
2014,02,congress,60
2014,02,state,60
2014,02,bill,55
2014,02,district,52
2014,02,federal,49
2014,02,new,48
2014,02,year,47
2014,02,last,47
2014,02,legislation,44
2014,02,help,42
2012,10,medicare,42
2012,10,health,31
2012,10,program,29
2012,10,new,27
2012,10,district,27
2012,10,work,24
2012,10,october,24
2012,10,jobs,22
2012,10,also,22
2012,10,million,21
2011,09,jobs,219
2011,09,work,105
2011,09,congress,96
2011,09,american,93
2011,09,act,92
2011,09,plan,90
2011,09,americans,84
2011,09,job,77
2011,09,help,74
2011,09,economy,73
2013,01,congress,72
2013,01,gun,62
2013,01,district,51
2013,01,violence,46
2013,01,new,37
2013,01,legislation,37
2013,01,bill,35
2013,01,work,34
2013,01,schiff,33
2013,01,congressional,32
2013,04,memphis,107
2013,04,budget,64
2013,04,act,54
2013,04,district,51
2013,04,federal,50
2013,04,congress,47
2013,04,stem,46
2013,04,education,46
2013,04,tax,43
2013,04,legislation,42
2014,01,district,80
2014,01,congress,79
2014,01,act,64
2014,01,work,58
2014,01,insurance,58
2014,01,health,58
2014,01,help,56
2014,01,million,49
2014,01,care,47
2014,01,get,47
2014,06,bill,79
2014,06,new,69
2014,06,act,64
2014,06,congress,64
2014,06,help,58
2014,06,federal,54
2014,06,american,54
2014,06,make,53
2014,06,people,53
2014,06,district,52
2012,05,new,62
2012,05,veterans,62
2012,05,may,46
2012,05,district,44
2012,05,act,44
2012,05,health,40
2012,05,help,39
2012,05,congressman,37
2012,05,visit,36
2012,05,federal,36
2010,10,veterans,87
2010,10,act,81
2010,10,new,65
2010,10,jobs,65
2010,10,small,64
2010,10,tax,61
2010,10,congress,56
2010,10,bill,52
2010,10,business,44
2010,10,million,40
2013,02,congress,80
2013,02,memphis,59
2013,02,casey,55
2013,02,district,54
2013,02,federal,51
2013,02,new,50
2013,02,work,50
2013,02,cuts,47
2013,02,also,47
2013,02,month,44
2011,07,debt,161
2011,07,jobs,84
2011,07,congress,82
2011,07,federal,80
2011,07,bill,68
2011,07,security,64
2011,07,disabled,63
2011,07,act,62
2011,07,memphis,62
2011,07,district,61
2012,03,health,175
2012,03,care,156
2012,03,act,112
2012,03,district,98
2012,03,affordable,87
2012,03,new,77
2012,03,insurance,77
2012,03,coverage,75
2012,03,women,62
2012,03,services,56
2010,06,health,131
2010,06,oil,105
2010,06,act,103
2010,06,care,93
2010,06,small,88
2010,06,new,84
2010,06,also,78
2010,06,congress,74
2010,06,spill,72
2010,06,bp,72
2013,08,act,49
2013,08,bill,46
2013,08,congress,41
2013,08,district,39
2013,08,americans,35
2013,08,memphis,34
2013,08,work,32
2013,08,people,31
2013,08,care,31
2013,08,federal,31
2014,10,memphis,122
2014,10,health,68
2014,10,congress,67
2014,10,district,60
2014,10,federal,58
2014,10,act,57
2014,10,help,56
2014,10,care,52
2014,10,ebola,52
2014,10,school,51
2014,07,congress,73
2014,07,act,68
2014,07,bill,65
2014,07,memphis,61
2014,07,people,50
2014,07,congressman,47
2014,07,district,46
2014,07,bank,45
2014,07,help,44
2014,07,also,44
2012,09,new,45
2012,09,bill,44
2012,09,veterans,43
2012,09,september,37
2012,09,congress,36
