Year,Month,Word,Frequency
2014,11,senator,10
2014,11,michigan,7
2014,11,health,7
2014,11,stabenow,7
2014,11,women,7
2014,11,read,6
2014,11,action,6
2014,11,take,6
2014,11,lake,5
2014,11,immigration,5
2015,03,student,16
2015,03,transportation,10
2015,03,bill,10
2015,03,debt,9
2015,03,illinois,8
2015,03,congress,8
2015,03,loan,7
2015,03,work,6
2015,03,longterm,6
2015,03,students,6
2014,12,care,11
2014,12,families,11
2014,12,native,10
2014,12,climate,10
2014,12,child,10
2014,12,children,9
2014,12,senator,9
2014,12,senate,9
2014,12,action,8
2014,12,new,8
2010,07,law,30
2010,07,health,25
2010,07,act,23
2010,07,new,22
2010,07,street,20
2010,07,tribal,20
2010,07,bill,19
2010,07,federal,18
2010,07,suite,18
2010,07,information,17
2014,02,illinois,16
2014,02,michigan,14
2014,02,manufacturing,12
2014,02,stabenow,9
2014,02,university,8
2014,02,new,7
2014,02,senator,7
2014,02,housing,7
2014,02,help,6
2014,02,state,6
2012,10,medicare,16
2012,10,health,15
2012,10,program,9
2012,10,care,9
2012,10,visit,7
2012,10,year,7
2012,10,go,6
2012,10,reform,6
2012,10,senator,6
2012,10,percent,6
2011,09,jobs,28
2011,09,economy,22
2011,09,senator,21
2011,09,small,17
2011,09,job,17
2011,09,work,16
2011,09,new,16
2011,09,colorado,16
2011,09,suite,15
2011,09,energy,15
2013,01,go,23
2013,01,senator,21
2013,01,updates,16
2013,01,read,10
2013,01,receive,9
2013,01,stabenow,9
2013,01,michigan,9
2013,01,senate,9
2013,01,send,8
2013,01,work,6
2013,04,sheldon,3
2013,04,earth,2
2013,04,senator,2
2013,04,providence,2
2013,04,whitehouse,2
2013,04,address,2
2013,04,day,2
2013,04,future,2
2013,04,duty,1
2013,04,fulfills,1
2014,01,state,10
2014,01,also,10
2014,01,union,8
2014,01,bill,8
2014,01,working,7
2014,01,work,7
2014,01,minnesota,7
2014,01,jobs,7
2014,01,congress,7
2014,01,veterans,6
2014,06,student,19
2014,06,casey,16
2014,06,loan,14
2014,06,senator,13
2014,06,debt,12
2014,06,college,8
2014,06,bill,8
2014,06,year,7
2014,06,benefits,7
2014,06,federal,7
2012,05,senator,32
2012,05,new,28
2012,05,tammy,24
2012,05,jobs,24
2012,05,gillibrand,23
2012,05,act,22
