Year,Month,Word,Frequency
2014,11,congress,99
2014,11,new,82
2014,11,district,80
2014,11,health,79
2014,11,immigration,78
2014,11,bill,71
2014,11,veterans,70
2014,11,action,62
2014,11,work,60
2014,11,act,55
2015,03,congress,123
2015,03,district,100
2015,03,bill,98
2015,03,rights,85
2015,03,work,71
2015,03,last,68
2015,03,new,67
2015,03,act,65
2015,03,tax,63
2015,03,american,60
2014,12,bill,103
2014,12,congress,98
2014,12,new,75
2014,12,act,69
2014,12,law,65
2014,12,district,63
2014,12,also,62
2014,12,work,58
2014,12,federal,57
2014,12,funding,57
2010,07,act,145
2010,07,new,122
2010,07,street,110
2010,07,federal,106
2010,07,financial,104
2010,07,law,90
2010,07,help,87
2010,07,legislation,85
2010,07,congress,84
2010,07,bill,84
2014,02,congress,88
2014,02,state,86
2014,02,bill,79
2014,02,new,73
2014,02,federal,71
2014,02,last,69
2014,02,district,67
2014,02,year,63
2014,02,help,57
2014,02,legislation,56
2012,10,new,60
2012,10,medicare,48
2012,10,district,40
2012,10,october,40
2012,10,federal,37
2012,10,health,37
2012,10,program,36
2012,10,work,32
2012,10,state,32
2012,10,last,31
2011,09,jobs,361
2011,09,work,180
2011,09,congress,159
2011,09,american,157
2011,09,act,146
2011,09,new,132
2011,09,plan,123
2011,09,economy,115
2011,09,job,110
2011,09,americans,104
2013,01,gun,115
2013,01,violence,115
2013,01,congress,114
2013,01,new,95
2013,01,district,72
2013,01,work,57
2013,01,dr,55
2013,01,women,55
2013,01,bill,53
2013,01,legislation,50
2013,04,memphis,107
2013,04,act,105
2013,04,budget,90
2013,04,new,88
2013,04,district,87
2013,04,work,84
2013,04,congress,78
2013,04,legislation,73
2013,04,federal,73
2013,04,also,66
2014,01,congress,104
2014,01,act,92
2014,01,district,91
2014,01,work,85
2014,01,bill,70
2014,01,health,70
2014,01,help,65
2014,01,insurance,65
2014,01,year,61
2014,01,also,61
2014,06,veterans,110
2014,06,bill,110
2014,06,act,107
2014,06,new,105
2014,06,congress,97
2014,06,help,93
2014,06,federal,83
2014,06,health,83
2014,06,people,81
2014,06,also,76
2012,05,may,120
2012,05,act,117
2012,05,new,101
2012,05,veterans,81
2012,05,congress,70
2012,05,health,66
2012,05,district,65
2012,05,women,65
2012,05,bill,64
2012,05,jobs,61
2010,10,veterans,109
2010,10,act,100
2010,10,jobs,80
2010,10,congress,74
2010,10,small,69
2010,10,tax,68
2010,10,new,67
2010,10,bill,58
2010,10,million,56
2010,10,american,50
2013,02,congress,139
2013,02,violence,93
2013,02,new,92
2013,02,act,90
2013,02,district,89
2013,02,also,89
2013,02,federal,86
2013,02,american,86
2013,02,work,82
2013,02,gun,74
2011,07,debt,227
2011,07,congress,106
2011,07,federal,101
2011,07,jobs,100
2011,07,national,90
2011,07,budget,89
2011,07,cuts,85
2011,07,security,81
2011,07,spending,81
2011,07,government,81
2012,03,health,316
2012,03,care,241
2012,03,act,147
2012,03,district,143
2012,03,insurance,131
2012,03,coverage,125
2012,03,affordable,119
2012,03,new,117
2012,03,oil,92
2012,03,services,91
2010,06,health,148
2010,06,act,135
