Year,Month,Word,Frequency
2014,11,congress,75
2014,11,immigration,70
2014,11,veterans,58
2014,11,action,57
2014,11,work,53
2014,11,new,52
2014,11,people,48
2014,11,district,44
2014,11,american,39
2014,11,last,39
2015,03,congress,105
2015,03,budget,99
2015,03,district,88
2015,03,work,63
2015,03,national,58
2015,03,rights,56
2015,03,open,56
2015,03,also,54
2015,03,bill,54
2015,03,care,53
2014,12,bill,117
2014,12,congress,111
2014,12,new,90
2014,12,act,82
2014,12,legislation,75
2014,12,year,66
2014,12,federal,63
2014,12,funding,63
2014,12,senate,62
2014,12,work,57
2010,07,federal,64
2010,07,law,52
2010,07,congress,51
2010,07,health,51
2010,07,act,49
2010,07,street,48
2010,07,people,40
2010,07,bill,40
2010,07,new,39
2010,07,congresswoman,39
2014,02,bill,93
2014,02,congress,72
2014,02,work,71
2014,02,act,59
2014,02,health,58
2014,02,obamacare,56
2014,02,district,53
2014,02,jobs,53
2014,02,law,52
2014,02,state,52
2012,10,attack,42
2012,10,new,41
2012,10,administration,40
2012,10,state,39
2012,10,security,36
2012,10,federal,35
2012,10,health,33
2012,10,district,30
2012,10,october,30
2012,10,congress,26
2011,09,jobs,210
2011,09,work,117
2011,09,congress,96
2011,09,american,90
2011,09,new,88
2011,09,job,78
2011,09,act,70
2011,09,economy,67
2011,09,tax,67
2011,09,plan,65
2013,01,violence,87
2013,01,new,86
2013,01,congress,84
2013,01,gun,81
2013,01,health,53
2013,01,district,46
2013,01,work,45
2013,01,people,43
2013,01,senator,43
2013,01,women,43
2013,04,district,88
2013,04,budget,88
2013,04,new,87
2013,04,act,84
2013,04,work,77
2013,04,congress,71
2013,04,women,71
2013,04,families,62
2013,04,legislation,62
2013,04,time,54
2014,01,health,98
2014,01,work,79
2014,01,act,73
2014,01,bill,73
2014,01,obamacare,72
2014,01,care,67
2014,01,congress,66
2014,01,law,64
2014,01,new,61
2014,01,americans,58
2014,06,veterans,103
2014,06,act,79
2014,06,care,68
2014,06,also,67
2014,06,congress,65
2014,06,health,65
2014,06,bill,60
2014,06,new,59
2014,06,district,59
2014,06,va,56
2012,05,act,89
2012,05,may,82
2012,05,congress,73
2012,05,new,64
2012,05,national,64
2012,05,security,58
2012,05,senator,57
2012,05,jobs,55
2012,05,legislation,54
2012,05,american,50
2010,10,congress,46
2010,10,jobs,32
2010,10,tax,32
2010,10,health,31
2010,10,kansas,28
2010,10,economic,27
2010,10,law,26
2010,10,social,26
2010,10,security,26
2010,10,american,26
2013,02,congress,111
2013,02,spending,96
2013,02,new,82
2013,02,act,79
2013,02,cuts,77
2013,02,district,77
2013,02,american,75
2013,02,budget,73
2013,02,state,70
2013,02,work,65
2011,07,debt,192
2011,07,spending,173
2011,07,budget,127
2011,07,tax,77
2011,07,plan,75
2011,07,cut,73
2011,07,cuts,71
2011,07,congress,71
2011,07,government,71
2011,07,jobs,60
2012,03,health,261
2012,03,care,186
2012,03,law,159
2012,03,congress,104
2012,03,budget,81
2012,03,new,80
2012,03,district,80
2012,03,oil,77
2012,03,insurance,75
2012,03,federal,73
2010,06,new,47
2010,06,health,43
2010,06,care,37
2010,06,act,34
2010,06,jobs,32
2010,06,gulf,31
2010,06,businesses,31
2010,06,congress,29
2010,06,also,29
2010,06,congresswoman,29
2013,08,act,83
2013,08,congress,77
2013,08,district,66
2013,08,obamacare,64
2013,08,government,61
2013,08,care,60
2013,08,work,51
2013,08,bill,50
2013,08,people,48
2013,08,american,47
2014,10,ebola,63
2014,10,congress,55
2014,10,district,53
2014,10,health,51
2014,10,care,43
2014,10,american,43
2014,10,state,41
2014,10,work,40
2014,10,act,38
2014,10,new,37
2014,07,border,70
2014,07,children,52
2014,07,act,47
2014,07,legislation,45
2014,07,congress,44
2014,07,bill,41
2014,07,roslehtinen,37
2014,07,help,37
2014,07,crisis,36
2014,07,district,35
2012,09,work,63
2012,09,jobs,55
2012,09,bill,50
2012,09,energy,48
2012,09,business,44
2012,09,small,44
2012,09,act,42
2012,09,congress,42
2012,09,new,40
2012,09,national,36
2009,10,health,107
2009,10,care,86
2009,10,bill,68
2009,10,legislation,64
2009,10,act,52
2009,10,congress,44
2009,10,senator,41
2009,10,kansas,40
2009,10,district,37
2009,10,senate,37
2012,04,congress,63
2012,04,small,56
2012,04,tax,53
2012,04,energy,47
2012,04,jobs,46
2012,04,work,45
2012,04,national,45
2012,04,day,44
2012,04,district,43
2012,04,businesses,43
2012,12,tax,112
2012,12,fiscal,99
2012,12,cliff,96
2012,12,spending,78
2012,12,cuts,75
2012,12,congress,59
2012,12,year,55
2012,12,bill,49
2012,12,senate,48
2012,12,updates,43
2013,05,health,82
2013,05,act,81
2013,05,bill,81
2013,05,care,75
2013,05,law,74
2013,05,time,71
2013,05,obamacare,70
2013,05,american,64
2013,05,congress,62
2013,05,government,61
2012,02,budget,115
2012,02,act,70
2012,02,federal,63
2012,02,national,62
2012,02,congress,60
2012,02,legislation,54
2012,02,jobs,54
2012,02,health,54
2012,02,new,53
2012,02,senator,53
2010,01,health,87
2010,01,care,84
2010,01,bill,59
2010,01,state,51
2010,01,new,47
2010,01,congress,44
2010,01,federal,37
2010,01,year,32
2010,01,senate,31
2010,01,plan,30
2012,11,chavez,40
2012,11,tax,40
2012,11,new,38
2012,11,policy,28
2012,11,iran,28
2012,11,help,27
2012,11,national,27
2012,11,years,26
2012,11,also,26
2012,11,officials,26
