Year,Month,Word,Frequency
2014,11,congress,502
2014,11,american,327
2014,11,veterans,319
2014,11,immigration,309
2014,11,new,291
2014,11,people,290
2014,11,work,290
2014,11,district,245
2014,11,executive,244
2014,11,senate,235
2015,03,congress,737
2015,03,budget,695
2015,03,bill,517
2015,03,act,468
2015,03,federal,460
2015,03,american,379
2015,03,senate,378
2015,03,district,360
2015,03,security,354
2015,03,last,347
2014,12,bill,583
2014,12,congress,575
2014,12,act,395
2014,12,new,381
2014,12,legislation,333
2014,12,year,328
2014,12,senate,319
2014,12,government,295
2014,12,executive,284
2014,12,funding,275
2010,07,federal,254
2010,07,new,247
2010,07,law,236
2010,07,bill,218
2010,07,congress,215
2010,07,government,177
2010,07,act,168
2010,07,tax,160
2010,07,american,158
2010,07,spending,154
2014,02,bill,441
2014,02,congress,413
2014,02,act,348
2014,02,federal,329
2014,02,state,314
2014,02,district,309
2014,02,obamacare,301
2014,02,work,296
2014,02,health,279
2014,02,last,271
2012,10,jobs,161
2012,10,district,153
2012,10,new,142
2012,10,administration,142
2012,10,government,133
2012,10,energy,120
2012,10,american,118
2012,10,congress,116
2012,10,tax,112
2012,10,security,110
2011,09,jobs,809
2011,09,new,434
2011,09,job,409
2011,09,congress,338
2011,09,plan,338
2011,09,work,326
2011,09,economy,323
2011,09,tax,321
2011,09,american,302
2011,09,federal,288
2013,01,congress,460
2013,01,spending,347
2013,01,bill,294
2013,01,tax,291
2013,01,senate,290
2013,01,budget,273
2013,01,debt,269
2013,01,federal,259
2013,01,new,252
2013,01,fiscal,217
2013,04,budget,515
2013,04,federal,357
2013,04,tax,352
2013,04,district,331
2013,04,congress,323
2013,04,act,293
2013,04,april,290
2013,04,government,282
2013,04,bill,273
2013,04,new,262
2014,01,congress,422
2014,01,health,410
2014,01,bill,388
2014,01,act,361
2014,01,state,332
2014,01,federal,329
2014,01,obamacare,310
2014,01,new,310
2014,01,care,292
2014,01,government,291
2014,06,veterans,629
2014,06,va,509
2014,06,energy,459
2014,06,care,420
2014,06,american,403
2014,06,bill,398
2014,06,congress,395
2014,06,act,394
2014,06,new,354
2014,06,district,301
2012,05,federal,244
2012,05,may,241
2012,05,bill,230
2012,05,act,227
2012,05,new,224
2012,05,budget,209
2012,05,national,208
2012,05,year,190
2012,05,health,186
2012,05,senate,179
2010,10,new,250
2010,10,tax,246
2010,10,congress,228
2010,10,health,192
2010,10,jobs,185
2010,10,government,161
2010,10,spending,150
2010,10,small,142
2010,10,american,139
2010,10,care,136
2013,02,spending,537
2013,02,budget,501
2013,02,congress,431
2013,02,federal,396
2013,02,state,353
2013,02,government,350
2013,02,cuts,303
2013,02,congressman,297
2013,02,new,280
2013,02,act,279
2011,07,debt,887
2011,07,spending,737
2011,07,budget,492
2011,07,congress,364
2011,07,federal,352
2011,07,government,349
2011,07,senate,310
2011,07,act,308
2011,07,ceiling,304
2011,07,cut,303
2012,03,health,758
2012,03,care,704
2012,03,law,492
2012,03,energy,492
2012,03,budget,491
2012,03,act,428
2012,03,new,407
2012,03,jobs,395
2012,03,bill,334
2012,03,government,321
2010,06,health,279
2010,06,new,262
2010,06,congress,232
2010,06,care,217
2010,06,government,215
2010,06,spending,209
2010,06,congressman,204
2010,06,oil,200
2010,06,federal,199
2010,06,jobs,190
2013,08,act,540
2013,08,obamacare,506
2013,08,health,494
2013,08,congress,488
2013,08,federal,449
2013,08,district,418
2013,08,care,415
2013,08,government,411
2013,08,law,379
2013,08,bill,370
2014,10,ebola,483
2014,10,health,399
