Year,Month,Word,Frequency
2014,11,congress,495
2014,11,american,316
2014,11,immigration,316
2014,11,work,297
2014,11,veterans,285
2014,11,people,280
2014,11,district,270
2014,11,new,264
2014,11,executive,220
2014,11,congressman,192
2015,03,congress,741
2015,03,budget,695
2015,03,bill,492
2015,03,district,427
2015,03,act,419
2015,03,federal,366
2015,03,security,363
2015,03,american,351
2015,03,open,337
2015,03,last,331
2014,12,bill,610
2014,12,congress,581
2014,12,act,402
2014,12,new,361
2014,12,year,353
2014,12,legislation,329
2014,12,funding,305
2014,12,government,296
2014,12,executive,294
2014,12,immigration,290
2010,07,federal,265
2010,07,new,246
2010,07,congress,217
2010,07,law,214
2010,07,bill,205
2010,07,government,192
2010,07,act,178
2010,07,spending,177
2010,07,street,167
2010,07,american,166
2014,02,bill,472
2014,02,congress,427
2014,02,act,376
2014,02,district,339
2014,02,work,336
2014,02,federal,317
2014,02,state,311
2014,02,last,283
2014,02,obamacare,278
2014,02,jobs,277
2012,10,new,170
2012,10,jobs,167
2012,10,district,167
2012,10,administration,149
2012,10,government,134
2012,10,american,128
2012,10,congress,125
2012,10,americans,121
2012,10,security,120
2012,10,energy,120
2011,09,jobs,876
2011,09,new,444
2011,09,job,409
2011,09,work,366
2011,09,congress,364
2011,09,tax,342
2011,09,plan,340
2011,09,american,324
2011,09,economy,289
2011,09,district,282
2013,01,congress,434
2013,01,spending,299
2013,01,new,275
2013,01,bill,263
2013,01,tax,262
2013,01,budget,239
2013,01,district,234
2013,01,federal,217
2013,01,debt,208
2013,01,gun,200
2013,04,budget,485
2013,04,district,407
2013,04,tax,331
2013,04,congress,330
2013,04,federal,287
2013,04,new,285
2013,04,act,274
2013,04,work,256
2013,04,april,242
2013,04,bill,230
2014,01,health,422
2014,01,congress,415
2014,01,act,365
2014,01,bill,355
2014,01,new,302
2014,01,obamacare,298
2014,01,district,292
2014,01,work,291
2014,01,care,288
2014,01,federal,286
2014,06,veterans,592
2014,06,energy,429
2014,06,va,426
2014,06,act,419
2014,06,congress,408
2014,06,bill,398
2014,06,american,370
2014,06,new,356
2014,06,care,352
2014,06,district,343
2012,05,act,258
2012,05,may,251
2012,05,national,224
2012,05,bill,222
2012,05,new,214
2012,05,district,205
2012,05,federal,200
2012,05,health,190
2012,05,defense,182
2012,05,congressman,180
