Year,Month,Word,Frequency
2014,11,congress,50
2014,11,work,30
2014,11,people,30
2014,11,immigration,29
2014,11,american,28
2014,11,action,26
2014,11,pipeline,25
2014,11,veterans,24
2014,11,new,21
2014,11,district,21
2015,03,budget,82
2015,03,congress,73
2015,03,district,44
2015,03,security,40
2015,03,time,39
2015,03,open,39
2015,03,israel,39
2015,03,executive,37
2015,03,work,36
2015,03,people,35
2014,12,bill,85
2014,12,congress,84
2014,12,legislation,64
2014,12,act,53
2014,12,funding,53
2014,12,new,50
2014,12,year,50
2014,12,immigration,44
2014,12,senate,41
2014,12,government,41
2010,07,federal,40
2010,07,miller,32
2010,07,bill,30
2010,07,people,27
2010,07,congresswoman,27
2010,07,congress,25
2010,07,security,24
2010,07,candice,24
2010,07,immigration,23
2010,07,michigan,23
2014,02,bill,69
2014,02,work,55
2014,02,obamacare,47
2014,02,act,47
2014,02,congress,44
2014,02,law,42
2014,02,people,40
2014,02,health,39
2014,02,american,39
2014,02,legislation,38
2012,10,attack,42
2012,10,administration,37
2012,10,security,34
2012,10,health,27
2012,10,cuts,23
2012,10,said,21
2012,10,percent,20
2012,10,government,19
2012,10,care,18
2012,10,defense,18
2011,09,jobs,68
2011,09,job,45
2011,09,work,42
2011,09,tax,40
2011,09,government,37
2011,09,congress,33
2011,09,taxes,33
2011,09,plan,32
2011,09,create,32
2011,09,kansas,29
2013,01,congress,42
2013,01,budget,34
2013,01,new,28
2013,01,gun,28
2013,01,senator,28
2013,01,spending,28
2013,01,second,27
2013,01,district,25
2013,01,senate,25
2013,01,collins,25
2013,04,budget,62
2013,04,district,52
2013,04,tax,50
2013,04,said,43
2013,04,congress,40
2013,04,time,39
2013,04,americans,39
2013,04,open,34
2013,04,work,33
2013,04,people,33
2014,01,health,86
2014,01,obamacare,70
2014,01,care,58
2014,01,new,57
2014,01,work,52
2014,01,americans,51
2014,01,security,50
2014,01,law,46
2014,01,bill,46
2014,01,act,45
2014,06,district,40
2014,06,act,36
2014,06,veterans,36
