Year,Month,Word,Frequency
2014,11,congress,428
2014,11,american,308
2014,11,veterans,283
2014,11,immigration,272
2014,11,people,269
2014,11,work,253
2014,11,new,240
2014,11,senate,225
2014,11,executive,222
2014,11,pipeline,193
2015,03,budget,675
2015,03,congress,646
2015,03,bill,440
2015,03,federal,428
2015,03,act,424
2015,03,senate,354
2015,03,american,335
2015,03,government,320
2015,03,national,312
2015,03,security,308
2014,12,bill,512
2014,12,congress,504
2014,12,act,355
2014,12,new,346
2014,12,legislation,304
2014,12,year,295
2014,12,senate,293
2014,12,government,268
2014,12,executive,266
2014,12,immigration,231
2010,07,law,177
2010,07,federal,172
2010,07,congress,157
2010,07,new,151
2010,07,bill,144
2010,07,government,139
2010,07,tax,137
2010,07,spending,128
2010,07,american,115
2010,07,health,109
2014,02,bill,386
2014,02,congress,352
2014,02,act,309
2014,02,obamacare,293
2014,02,federal,279
2014,02,work,263
2014,02,district,257
2014,02,state,254
2014,02,government,253
2014,02,health,249
2012,10,jobs,139
2012,10,administration,132
2012,10,district,126
2012,10,government,121
2012,10,new,115
2012,10,energy,112
2012,10,tax,108
2012,10,security,106
2012,10,congress,105
2012,10,american,105
2011,09,jobs,561
2011,09,new,357
2011,09,job,327
2011,09,tax,268
2011,09,government,256
2011,09,federal,247
2011,09,economy,243
2011,09,plan,238
2011,09,congress,235
2011,09,spending,229
2013,01,congress,381
2013,01,spending,344
2013,01,budget,268
2013,01,tax,263
2013,01,senate,257
2013,01,bill,250
2013,01,debt,249
2013,01,federal,233
2013,01,new,206
2013,01,fiscal,193
2013,04,budget,446
2013,04,federal,307
2013,04,tax,307
2013,04,district,280
2013,04,congress,274
2013,04,government,258
2013,04,april,254
2013,04,act,238
2013,04,senate,235
2013,04,new,233
2014,01,health,351
2014,01,bill,344
2014,01,congress,342
2014,01,obamacare,309
2014,01,act,297
2014,01,federal,286
2014,01,state,283
2014,01,government,267
2014,01,new,265
2014,01,care,243
2014,06,veterans,586
2014,06,va,482
2014,06,energy,433
2014,06,care,384
2014,06,american,347
2014,06,congress,330
2014,06,act,329
2014,06,bill,319
2014,06,new,284
2014,06,administration,273
2012,05,federal,198
2012,05,may,194
2012,05,bill,191
2012,05,budget,190
2012,05,act,182
2012,05,year,172
2012,05,national,172
2012,05,new,159
2012,05,defense,156
2012,05,senate,149
2010,10,tax,185
2010,10,new,184
2010,10,congress,168
2010,10,health,160
2010,10,government,137
2010,10,spending,133
2010,10,jobs,120
2010,10,care,111
2010,10,american,98
2010,10,year,93
2013,02,spending,502
2013,02,budget,470
2013,02,congress,347
2013,02,federal,343
2013,02,government,330
2013,02,state,320
2013,02,congressman,263
2013,02,debt,255
2013,02,national,255
2013,02,cuts,253
2011,07,debt,700
2011,07,spending,655
2011,07,budget,416
2011,07,government,282
2011,07,congress,274
2011,07,senate,268
2011,07,federal,266
2011,07,cut,266
2011,07,ceiling,243
2011,07,act,239
2012,03,health,575
2012,03,care,540
2012,03,budget,476
2012,03,energy,467
2012,03,law,441
2012,03,jobs,355
2012,03,new,327
2012,03,act,313
2012,03,bill,306
2012,03,government,290
2010,06,government,177
2010,06,new,176
2010,06,spending,162
2010,06,congressman,162
2010,06,federal,159
2010,06,congress,157
2010,06,budget,157
2010,06,health,148
2010,06,care,124
2010,06,jobs,122
2013,08,act,491
2013,08,obamacare,488
2013,08,health,447
2013,08,congress,444
2013,08,federal,414
2013,08,government,384
2013,08,district,379
2013,08,care,365
2013,08,law,355
2013,08,august,351
2014,10,ebola,431
2014,10,health,331
2014,10,states,258
2014,10,united,242
2014,10,american,235
2014,10,care,227
2014,10,new,211
2014,10,people,198
2014,10,federal,197
2014,10,congress,190
2014,07,border,398
2014,07,act,330
2014,07,bill,308
2014,07,congress,281
2014,07,federal,243
2014,07,law,224
2014,07,legislation,220
2014,07,children,217
2014,07,senate,213
2014,07,government,208
2012,09,work,213
2012,09,congress,194
2012,09,american,181
2012,09,act,175
2012,09,new,169
2012,09,bill,166
2012,09,government,160
2012,09,tax,160
2012,09,energy,155
2012,09,jobs,153
2009,10,health,407
2009,10,care,335
2009,10,bill,309
2009,10,government,202
2009,10,congress,194
2009,10,new,193
2009,10,reform,161
2009,10,legislation,151
2009,10,senate,150
2009,10,congressman,127
2012,04,tax,349
2012,04,budget,336
2012,04,energy,293
2012,04,bill,245
2012,04,government,242
2012,04,new,231
2012,04,act,227
2012,04,federal,227
2012,04,jobs,198
2012,04,health,193
2012,12,tax,337
2012,12,spending,274
2012,12,fiscal,245
2012,12,cliff,206
2012,12,congress,147
2012,12,taxes,139
2012,12,year,139
2012,12,federal,135
2012,12,senate,135
2012,12,bill,125
2013,05,act,408
2013,05,bill,374
2013,05,may,342
2013,05,health,341
2013,05,government,329
2013,05,obamacare,326
2013,05,law,321
2013,05,care,317
2013,05,american,310
2013,05,congress,300
2012,02,budget,589
2012,02,act,361
2012,02,government,327
2012,02,congress,320
2012,02,spending,300
2012,02,new,298
2012,02,federal,298
2012,02,energy,287
2012,02,bill,267
2012,02,religious,257
2010,01,health,253
2010,01,care,236
2010,01,congress,180
2010,01,government,167
2010,01,american,167
2010,01,people,156
2010,01,new,132
2010,01,federal,130
2010,01,congressman,129
2010,01,spending,126
2012,11,tax,237
2012,11,fiscal,132
2012,11,spending,110
2012,11,cliff,109
2012,11,congress,99
2012,11,new,96
2012,11,americans,96
2012,11,federal,94
2012,11,american,93
2012,11,veterans,88
2011,11,jobs,188
2011,11,federal,187
2011,11,senate,184
2011,11,act,178
2011,11,government,166
2011,11,congress,163
2011,11,spending,162
2011,11,budget,153
2011,11,debt,147
2011,11,veterans,145
2013,03,budget,915
2013,03,spending,555
2013,03,federal,458
2013,03,senate,440
2013,03,government,440
2013,03,congress,410
2013,03,cuts,367
2013,03,american,340
2013,03,congressman,332
2013,03,years,308
2013,06,bill,387
2013,06,congressman,294
2013,06,act,290
2013,06,energy,233
2013,06,district,233
2013,06,veterans,207
2013,06,congress,205
2013,06,national,202
2013,06,new,199
2013,06,federal,192
2013,10,government,1256
2013,10,obamacare,686
2013,10,shutdown,674
2013,10,senate,640
2013,10,federal,572
2013,10,congress,565
2013,10,bill,496
2013,10,debt,483
2013,10,law,434
2013,10,health,430
2012,08,tax,566
2012,08,medicare,195
2012,08,budget,192
2012,08,federal,184
2012,08,small,176
2012,08,year,171
2012,08,health,163
2012,08,percent,160
2012,08,government,159
2012,08,businesses,159
2015,01,congress,783
2015,01,act,575
2015,01,american,490
2015,01,legislation,486
2015,01,bill,470
2015,01,new,437
2015,01,work,376
2015,01,presidents,327
2015,01,senate,317
2015,01,people,314
2009,11,health,384
2009,11,care,287
2009,11,bill,276
2009,11,congressman,138
2009,11,new,134
2009,11,government,132
2009,11,jobs,117
2009,11,federal,105
2009,11,congress,103
2009,11,legislation,102
2012,07,tax,622
2012,07,bill,458
2012,07,act,384
2012,07,law,380
2012,07,congress,378
2012,07,health,370
2012,07,federal,349
2012,07,care,346
2012,07,american,342
2012,07,government,341
2011,10,jobs,508
2011,10,new,332
2011,10,job,253
2011,10,bill,250
2011,10,american,240
2011,10,government,235
2011,10,senate,230
2011,10,federal,222
2011,10,act,216
2011,10,district,189
2013,09,obamacare,872
2013,09,government,610
2013,09,syria,542
2013,09,congress,541
2013,09,health,497
2013,09,military,477
2013,09,senate,426
2013,09,american,422
2013,09,district,404
2013,09,bill,397
2011,06,debt,383
2011,06,spending,349
2011,06,congress,268
2011,06,government,254
2011,06,jobs,249
2011,06,medicare,236
2011,06,federal,234
2011,06,american,228
2011,06,congressman,214
2011,06,new,205
2011,04,budget,747
2011,04,spending,663
2011,04,government,493
2011,04,congress,310
2011,04,federal,301
2011,04,year,287
2011,04,senate,282
2011,04,bill,262
2011,04,debt,246
2011,04,tax,242
2015,06,trade,614
2015,06,bill,471
2015,06,congress,451
2015,06,act,386
2015,06,tpa,314
2015,06,health,277
2015,06,legislation,276
2015,06,federal,265
2015,06,care,259
2015,06,american,243
2013,12,act,307
2013,12,health,297
2013,12,budget,294
2013,12,bill,277
2013,12,obamacare,267
2013,12,law,237
2013,12,year,227
2013,12,care,226
