Year,Month,Word,Frequency
2014,11,senate,96
2014,11,veterans,89
2014,11,congress,78
2014,11,new,73
2014,11,kansas,71
2014,11,care,64
2014,11,va,60
2014,11,immigration,58
2014,11,senator,56
2014,11,health,56
2015,03,senate,179
2015,03,federal,117
2015,03,kansas,102
2015,03,budget,98
2015,03,act,86
2015,03,congress,86
2015,03,suite,78
2015,03,amendment,77
2015,03,iran,77
2015,03,national,74
2014,12,senate,127
2014,12,new,99
2014,12,congress,97
2014,12,bill,81
2014,12,kansas,80
2014,12,legislation,73
2014,12,act,63
2014,12,federal,55
2014,12,veterans,49
2014,12,committee,48
2010,07,law,44
2010,07,congress,40
2010,07,bill,34
2010,07,senator,33
2010,07,health,31
2010,07,thune,27
2010,07,federal,27
2010,07,senate,27
2010,07,kagan,27
2010,07,legislation,26
2014,02,senate,90
2014,02,obamacare,79
2014,02,kentucky,74
2014,02,suite,68
2014,02,health,64
2014,02,bill,58
2014,02,federal,56
2014,02,congress,56
2014,02,law,55
2014,02,care,53
2012,10,senator,82
2012,10,mcconnell,50
2012,10,administration,33
2012,10,kentucky,27
2012,10,october,27
2012,10,also,27
2012,10,security,26
2012,10,news,24
2012,10,september,24
2012,10,senate,24
2011,09,kansas,91
2011,09,jobs,86
2011,09,september,83
2011,09,economy,72
2011,09,federal,67
2011,09,senator,65
2011,09,senate,64
2011,09,job,56
2011,09,country,55
2011,09,work,54
2013,01,senator,155
2013,01,senate,130
2013,01,congress,99
2013,01,debt,87
2013,01,spending,77
2013,01,national,71
2013,01,budget,68
2013,01,fiscal,66
2013,01,federal,65
2013,01,security,61
2013,04,senator,164
2013,04,senate,147
2013,04,budget,113
2013,04,federal,112
2013,04,act,101
2013,04,government,94
2013,04,legislation,92
2013,04,kansas,91
2013,04,bill,87
2013,04,mcconnell,84
2014,01,senate,114
2014,01,state,110
2014,01,bill,97
2014,01,americans,93
2014,01,federal,87
2014,01,government,85
2014,01,obamacare,84
2014,01,health,84
2014,01,kansas,84
2014,01,work,71
2014,06,veterans,137
2014,06,va,135
2014,06,care,131
2014,06,senate,107
2014,06,kansas,86
2014,06,senator,77
2014,06,legislation,70
2014,06,health,69
2014,06,also,64
2014,06,june,64
2012,05,senator,125
2012,05,senate,119
2012,05,budget,109
2012,05,may,65
2012,05,american,61
2012,05,years,59
2012,05,federal,57
2012,05,year,56
2012,05,tax,55
2012,05,kansas,53
2010,10,congress,43
2010,10,tax,41
2010,10,kansas,32
2010,10,new,25
2010,10,visit,24
2010,10,american,24
2010,10,businesses,23
2010,10,energy,22
2010,10,government,22
2010,10,said,21
2013,02,senator,155
2013,02,senate,147
2013,02,kansas,123
2013,02,state,106
2013,02,federal,104
2013,02,budget,102
2013,02,debt,88
2013,02,congress,84
2013,02,national,83
2013,02,spending,79
2011,07,debt,141
2011,07,spending,117
2011,07,senate,115
2011,07,budget,100
2011,07,senator,89
2011,07,time,82
2011,07,kansas,72
2011,07,federal,67
2011,07,act,65
2011,07,states,64
2012,03,senator,196
2012,03,health,157
2012,03,care,144
2012,03,law,139
2012,03,senate,125
2012,03,kansas,125
2012,03,march,107
2012,03,energy,92
2012,03,bill,92
2012,03,new,88
2010,06,main,39
2010,06,suite,38
2010,06,new,36
2010,06,senator,34
2010,06,congress,30
2010,06,senate,28
2010,06,tax,27
2010,06,energy,26
2010,06,policy,24
2010,06,survey,23
2013,08,obamacare,112
2013,08,august,110
2013,08,act,88
2013,08,federal,86
2013,08,law,82
2013,08,senator,82
2013,08,congress,82
2013,08,health,82
2013,08,senate,81
2013,08,corker,79
2014,10,religious,108
2014,10,ebola,80
2014,10,freedom,65
2014,10,suite,63
2014,10,states,59
2014,10,west,55
2014,10,sen,55
2014,10,government,55
2014,10,united,54
2014,10,senate,52
2014,07,senate,91
2014,07,senator,81
2014,07,act,57
2014,07,corker,56
2014,07,health,56
2014,07,july,53
2014,07,federal,49
2014,07,states,49
2014,07,bill,49
2014,07,care,48
2012,09,senator,64
2012,09,mcconnell,43
2012,09,september,42
2012,09,american,39
2012,09,farm,28
2012,09,congress,27
2012,09,americans,26
2012,09,bill,25
2012,09,kansas,25
2012,09,national,24
2009,10,senate,103
2009,10,health,89
2009,10,bill,87
2009,10,care,82
2009,10,senator,73
2009,10,legislation,61
2009,10,reform,60
2009,10,sen,51
2009,10,new,49
2009,10,cornyn,48
2012,04,senator,76
2012,04,senate,59
2012,04,act,46
2012,04,visit,40
2012,04,tax,40
2012,04,government,39
2012,04,mcconnell,38
2012,04,jobs,36
2012,04,federal,35
2012,04,march,35
2012,12,senator,78
2012,12,senate,73
2012,12,fiscal,64
2012,12,cliff,52
2012,12,tax,49
2012,12,bill,37
2012,12,law,33
2012,12,act,33
2012,12,congress,33
2012,12,federal,32
2013,05,senator,231
2013,05,senate,155
2013,05,bill,137
2013,05,may,123
2013,05,legislation,114
2013,05,law,108
2013,05,also,106
2013,05,mcconnell,106
2013,05,federal,103
2013,05,government,100
2012,02,senator,186
2012,02,senate,143
2012,02,budget,135
2012,02,federal,112
2012,02,act,111
2012,02,religious,97
2012,02,jobs,91
2012,02,government,89
2012,02,february,88
2012,02,national,86
2010,01,federal,61
2010,01,health,59
2010,01,senate,51
2010,01,care,49
2010,01,congress,47
2010,01,state,47
2010,01,senator,42
2010,01,new,36
2010,01,people,36
2010,01,bill,36
2012,11,tax,80
2012,11,senator,68
2012,11,senate,59
2012,11,texas,54
2012,11,fiscal,49
2012,11,updates,45
2012,11,november,42
2012,11,veterans,41
2012,11,news,37
2012,11,cornyn,37
2011,11,senator,79
2011,11,senate,79
2011,11,federal,67
2011,11,spending,58
2011,11,debt,56
2011,11,congress,47
2011,11,health,47
2011,11,kansas,45
2011,11,government,42
2011,11,jobs,41
2013,03,senator,234
2013,03,senate,231
2013,03,budget,213
2013,03,kansas,167
2013,03,spending,132
2013,03,mcconnell,126
2013,03,federal,125
2013,03,national,123
2013,03,american,121
2013,03,government,119
2013,06,bill,120
2013,06,senator,97
2013,06,senate,94
2013,06,security,67
2013,06,legislation,67
2013,06,federal,65
2013,06,border,65
2013,06,farm,65
2013,06,immigration,60
2013,06,state,55
2013,10,government,213
2013,10,senate,135
2013,10,obamacare,133
2013,10,federal,108
2013,10,debt,101
2013,10,shutdown,96
2013,10,law,86
2013,10,congress,78
2013,10,senator,73
2013,10,health,73
2012,08,senator,89
2012,08,kentucky,45
2012,08,senate,41
2012,08,tax,40
2012,08,state,39
2012,08,mcconnell,39
2012,08,august,36
2012,08,federal,35
2012,08,congress,31
2012,08,information,29
2015,01,senate,125
2015,01,congress,89
2015,01,senator,85
2015,01,sen,69
2015,01,act,67
2015,01,legislation,65
2015,01,american,61
2015,01,state,61
2015,01,committee,56
2015,01,suite,54
2009,11,senator,53
2009,11,health,52
2009,11,bill,49
2009,11,senate,44
2009,11,care,41
2009,11,texas,28
2009,11,collins,26
2009,11,crimes,22
2009,11,also,22
2009,11,legislation,21
2012,07,tax,144
2012,07,senator,136
2012,07,senate,116
2012,07,mcconnell,65
2012,07,congress,63
2012,07,federal,57
2012,07,law,56
2012,07,bill,56
2012,07,economy,55
2012,07,work,51
2011,10,senator,119
2011,10,senate,112
2011,10,jobs,101
2011,10,bill,74
2011,10,economy,73
2011,10,federal,73
2011,10,new,67
2011,10,october,66
2011,10,trade,66
2011,10,american,61
2013,09,obamacare,244
2013,09,senate,191
2013,09,health,147
2013,09,government,146
2013,09,senator,142
2013,09,military,140
2013,09,american,135
2013,09,september,128
2013,09,kansas,127
2013,09,care,124
2011,06,senator,160
2011,06,states,99
2011,06,time,82
2011,06,congress,72
2011,06,senate,72
2011,06,debt,70
2011,06,federal,70
2011,06,united,68
2011,06,county,61
2011,06,kansas,61
2011,04,kansas,181
2011,04,senate,115
2011,04,city,103
2011,04,senator,103
2011,04,budget,85
2011,04,energy,81
2011,04,care,79
2011,04,health,76
2011,04,spending,69
2011,04,wichita,68
2015,06,senate,101
2015,06,federal,98
2015,06,act,80
2015,06,senator,68
2015,06,legislation,67
2015,06,bill,59
2015,06,national,57
2015,06,sen,56
2015,06,defense,51
2015,06,government,51
2013,12,senate,96
2013,12,budget,86
2013,12,year,76
2013,12,bill,76
2013,12,obamacare,74
2013,12,health,72
2013,12,also,71
2013,12,federal,68
2013,12,senator,68
2013,12,kansas,66
2014,05,veterans,136
2014,05,may,107
2014,05,kansas,101
2014,05,senate,99
2014,05,va,87
2014,05,senator,86
2014,05,national,83
2014,05,dr,82
2014,05,care,79
2014,05,health,77
2011,01,corker,55
2011,01,ryan,51
2011,01,spending,50
2011,01,budget,47
2011,01,senator,44
2011,01,senate,44
2011,01,congress,36
2011,01,federal,33
2011,01,health,32
2011,01,nunnelee,30
2015,04,senate,133
2015,04,kansas,123
2015,04,iran,112
2015,04,act,96
2015,04,congress,93
2015,04,legislation,85
2015,04,veterans,80
2015,04,county,79
2015,04,state,79
2015,04,nuclear,77
2013,11,health,219
2013,11,obamacare,185
2013,11,care,135
2013,11,senate,134
2013,11,senator,118
2013,11,americans,116
2013,11,veterans,107
2013,11,keep,107
2013,11,federal,101
2013,11,insurance,93
2012,06,senator,177
2012,06,senate,97
2012,06,care,86
2012,06,mcconnell,85
2012,06,government,79
2012,06,law,74
2012,06,tax,74
2012,06,congress,73
2012,06,health,73
2012,06,bill,70
2010,05,senate,78
2010,05,suite,51
2010,05,texas,49
2010,05,border,48
2010,05,main,47
2010,05,senator,46
2010,05,financial,44
2010,05,bill,41
2010,05,legislation,39
2010,05,reform,37
2011,08,spending,93
2011,08,debt,83
2011,08,county,78
2011,08,time,78
