Year,Month,Word,Frequency
2014,11,senate,97
2014,11,veterans,91
2014,11,congress,81
2014,11,new,76
2014,11,kansas,71
2014,11,care,66
2014,11,senator,66
2014,11,health,63
2014,11,immigration,63
2014,11,va,62
2015,03,senate,180
2015,03,federal,122
2015,03,kansas,102
2015,03,budget,98
2015,03,congress,94
2015,03,act,90
2015,03,suite,78
2015,03,amendment,77
2015,03,iran,77
2015,03,national,75
2014,12,senate,136
2014,12,new,107
2014,12,congress,102
2014,12,bill,89
2014,12,kansas,80
2014,12,legislation,78
2014,12,act,71
2014,12,federal,60
2014,12,care,56
2014,12,senator,54
2010,07,law,74
2010,07,health,56
2010,07,bill,53
2010,07,congress,49
2010,07,federal,45
2010,07,legislation,42
2010,07,senator,41
2010,07,new,40
2010,07,care,39
2010,07,act,39
2014,02,senate,94
2014,02,obamacare,79
2014,02,kentucky,74
2014,02,suite,68
2014,02,health,64
2014,02,bill,62
2014,02,law,58
2014,02,senator,58
2014,02,congress,58
2014,02,federal,57
2012,10,senator,88
2012,10,mcconnell,50
2012,10,administration,33
2012,10,october,28
2012,10,also,28
2012,10,senate,28
2012,10,kentucky,27
2012,10,security,26
2012,10,program,25
2012,10,news,24
2011,09,jobs,143
2011,09,economy,101
2011,09,senator,91
2011,09,kansas,91
2011,09,september,86
2011,09,new,78
2011,09,job,78
2011,09,work,77
2011,09,visit,75
2011,09,senate,75
2013,01,senator,180
2013,01,senate,147
2013,01,congress,110
2013,01,debt,88
2013,01,spending,77
2013,01,national,76
2013,01,fiscal,70
2013,01,security,69
2013,01,state,69
2013,01,federal,68
2013,04,senator,169
2013,04,senate,157
2013,04,budget,118
2013,04,federal,112
2013,04,act,103
2013,04,legislation,99
2013,04,government,95
2013,04,kansas,91
2013,04,bill,90
2013,04,mcconnell,84
2014,01,state,123
2014,01,senate,119
2014,01,bill,106
2014,01,americans,98
2014,01,federal,90
2014,01,government,87
2014,01,health,86
2014,01,obamacare,84
2014,01,kansas,84
2014,01,also,82
2014,06,veterans,140
2014,06,va,139
2014,06,care,136
2014,06,senate,113
2014,06,senator,90
2014,06,kansas,86
2014,06,legislation,78
2014,06,health,70
2014,06,also,68
2014,06,june,68
2012,05,senator,160
2012,05,senate,146
2012,05,budget,122
2012,05,federal,83
2012,05,tax,78
2012,05,jobs,77
2012,05,american,76
2012,05,new,74
2012,05,may,72
2012,05,year,70
2010,10,congress,56
2010,10,tax,50
2010,10,small,43
2010,10,businesses,40
2010,10,new,36
2010,10,business,34
2010,10,legislation,33
2010,10,american,33
2010,10,act,32
2010,10,kansas,32
2013,02,senator,172
2013,02,senate,165
2013,02,kansas,123
2013,02,federal,120
2013,02,state,116
2013,02,budget,109
2013,02,congress,98
2013,02,spending,93
2013,02,debt,91
2013,02,national,88
2011,07,debt,173
2011,07,spending,152
2011,07,senate,140
2011,07,budget,129
2011,07,senator,99
2011,07,time,88
2011,07,act,79
2011,07,federal,77
2011,07,congress,74
2011,07,states,72
2012,03,senator,214
2012,03,health,192
2012,03,care,173
2012,03,law,159
2012,03,senate,139
2012,03,kansas,127
2012,03,act,108
2012,03,march,108
2012,03,new,105
2012,03,energy,101
2010,06,senator,65
2010,06,new,54
2010,06,senate,52
2010,06,congress,49
2010,06,cidimagejpgccbcacf,47
2010,06,suite,45
2010,06,bill,42
2010,06,main,39
2010,06,tax,38
2010,06,visit,37
2013,08,obamacare,122
2013,08,august,111
2013,08,health,99
2013,08,law,95
2013,08,act,92
2013,08,federal,90
2013,08,congress,85
2013,08,care,84
2013,08,senator,84
2013,08,senate,83
2014,10,religious,108
2014,10,ebola,80
2014,10,freedom,65
2014,10,suite,63
2014,10,states,60
2014,10,west,55
2014,10,united,55
2014,10,sen,55
2014,10,government,55
2014,10,senate,54
2014,07,senate,97
2014,07,senator,84
2014,07,veterans,60
2014,07,act,59
2014,07,health,59
2014,07,care,57
2014,07,corker,56
2014,07,bill,56
2014,07,also,54
2014,07,july,54
2012,09,senator,79
2012,09,american,71
2012,09,bill,60
2012,09,national,55
2012,09,work,52
2012,09,farm,51
2012,09,september,46
2012,09,senate,45
2012,09,congress,44
2012,09,mcconnell,43
2009,10,senate,114
2009,10,health,112
2009,10,bill,106
2009,10,care,105
2009,10,senator,86
2009,10,legislation,79
2009,10,reform,69
2009,10,new,60
2009,10,committee,55
2009,10,congress,53
2012,04,tax,88
2012,04,senator,82
2012,04,senate,66
2012,04,government,57
2012,04,act,53
2012,04,jobs,48
2012,04,visit,47
2012,04,new,44
2012,04,federal,41
2012,04,small,39
2012,12,senator,94
2012,12,senate,94
2012,12,fiscal,79
2012,12,tax,64
2012,12,cliff,62
2012,12,updates,53
2012,12,bill,51
2012,12,spending,47
2012,12,congress,46
2012,12,work,44
2013,05,senator,235
2013,05,senate,156
2013,05,bill,142
2013,05,may,123
2013,05,legislation,116
2013,05,law,108
2013,05,also,106
2013,05,mcconnell,106
2013,05,federal,104
2013,05,government,100
2012,02,senator,187
2012,02,senate,153
2012,02,budget,138
2012,02,act,121
2012,02,federal,117
2012,02,religious,105
2012,02,jobs,98
2012,02,government,96
2012,02,february,92
2012,02,national,92
2010,01,health,99
2010,01,care,97
2010,01,federal,73
2010,01,state,72
2010,01,bill,70
2010,01,senate,68
2010,01,congress,61
2010,01,people,52
2010,01,senator,51
2010,01,new,50
2012,11,tax,88
2012,11,senator,76
2012,11,senate,66
2012,11,texas,54
2012,11,fiscal,52
2012,11,veterans,47
2012,11,updates,46
2012,11,news,42
2012,11,november,42
2012,11,congress,38
2011,11,senator,99
2011,11,senate,99
2011,11,federal,80
2011,11,jobs,67
2011,11,debt,63
2011,11,spending,61
2011,11,congress,54
2011,11,act,53
2011,11,veterans,52
2011,11,committee,51
2013,03,senate,250
2013,03,senator,245
2013,03,budget,230
2013,03,kansas,167
2013,03,spending,139
2013,03,federal,132
2013,03,american,131
2013,03,mcconnell,126
2013,03,government,125
2013,03,national,125
2013,06,bill,137
2013,06,senator,122
2013,06,senate,103
2013,06,federal,71
2013,06,farm,71
2013,06,security,69
2013,06,legislation,68
2013,06,border,65
2013,06,health,64
2013,06,immigration,61
2013,10,government,232
2013,10,senate,141
2013,10,obamacare,138
2013,10,federal,120
2013,10,debt,105
2013,10,shutdown,103
2013,10,law,89
2013,10,health,84
2013,10,congress,81
2013,10,senator,77
2012,08,senator,98
2012,08,tax,69
2012,08,kentucky,45
2012,08,senate,43
2012,08,state,41
2012,08,mcconnell,39
2012,08,federal,36
2012,08,august,36
2012,08,congress,34
2012,08,description,32
2015,01,senate,137
2015,01,congress,108
2015,01,senator,93
2015,01,act,83
2015,01,state,74
2015,01,legislation,72
2015,01,tax,69
2015,01,sen,69
2015,01,bill,65
2015,01,veterans,64
2009,11,health,117
2009,11,care,115
2009,11,bill,102
2009,11,senator,79
2009,11,senate,70
2009,11,new,69
2009,11,act,46
2009,11,legislation,44
2009,11,veterans,44
2009,11,reform,43
2012,07,tax,156
2012,07,senator,145
2012,07,senate,131
2012,07,law,74
2012,07,health,73
2012,07,federal,72
2012,07,bill,69
2012,07,work,66
2012,07,mcconnell,65
2012,07,congress,64
2011,10,senator,158
2011,10,senate,133
2011,10,jobs,128
2011,10,new,90
2011,10,federal,84
2011,10,economy,79
2011,10,bill,79
2011,10,trade,78
2011,10,government,74
2011,10,october,72
2013,09,obamacare,253
2013,09,senate,216
2013,09,government,173
2013,09,health,168
2013,09,senator,155
2013,09,military,153
2013,09,american,147
2013,09,care,141
2013,09,law,137
2013,09,september,131
2011,06,senator,166
2011,06,states,110
2011,06,time,92
2011,06,debt,86
2011,06,senate,82
2011,06,united,80
2011,06,spending,79
2011,06,federal,76
2011,06,congress,75
2011,06,american,74
2011,04,kansas,181
2011,04,budget,132
2011,04,senate,128
2011,04,senator,111
2011,04,city,103
2011,04,health,88
2011,04,government,86
2011,04,care,85
2011,04,energy,85
2011,04,spending,79
2015,06,senate,102
2015,06,federal,98
2015,06,act,81
2015,06,senator,68
2015,06,legislation,67
2015,06,national,61
2015,06,bill,59
2015,06,sen,57
2015,06,government,56
2015,06,defense,51
2013,12,senate,106
2013,12,budget,86
2013,12,year,84
2013,12,bill,82
2013,12,also,76
2013,12,obamacare,75
2013,12,senator,75
2013,12,health,74
2013,12,federal,72
2013,12,new,70
2014,05,veterans,150
2014,05,may,111
2014,05,senate,101
2014,05,kansas,101
2014,05,va,98
2014,05,senator,90
2014,05,care,87
2014,05,national,83
2014,05,dr,82
2014,05,health,80
2011,01,senator,124
2011,01,state,77
2011,01,senate,67
2011,01,health,64
2011,01,congress,61
2011,01,leahy,58
2011,01,new,55
2011,01,corker,55
2011,01,federal,54
2011,01,ryan,51
2015,04,senate,138
2015,04,kansas,123
2015,04,iran,112
2015,04,act,100
2015,04,senator,98
2015,04,congress,98
2015,04,legislation,86
2015,04,veterans,80
2015,04,state,80
2015,04,county,79
2013,11,health,231
2013,11,obamacare,188
2013,11,senate,153
2013,11,care,146
2013,11,senator,130
2013,11,americans,122
2013,11,keep,110
2013,11,federal,109
2013,11,american,108
2013,11,veterans,107
2012,06,senator,184
2012,06,senate,107
2012,06,care,97
2012,06,government,93
2012,06,health,88
2012,06,law,86
2012,06,mcconnell,85
2012,06,congress,80
2012,06,tax,80
2012,06,bill,70
2010,05,senate,93
2010,05,senator,70
2010,05,health,60
2010,05,legislation,56
2010,05,law,55
2010,05,new,54
2010,05,suite,53
2010,05,reform,52
2010,05,border,50
2010,05,main,49
2011,08,spending,110
2011,08,debt,97
2011,08,senator,95
2011,08,time,86
2011,08,senate,85
2011,08,budget,79
2011,08,county,78
2011,08,federal,68
2011,08,address,66
2011,08,kansas,66
2011,02,kansas,135
2011,02,senate,109
2011,02,county,106
2011,02,spending,88
2011,02,federal,85
2011,02,city,82
2011,02,health,77
2011,02,address,76
2011,02,budget,72
2011,02,state,72
2013,07,senate,263
2013,07,bill,216
2013,07,senator,178
2013,07,law,159
2013,07,obamacare,150
2013,07,health,145
2013,07,care,132
2013,07,federal,129
2013,07,july,120
2013,07,legislation,111
2010,03,health,331
2010,03,care,276
2010,03,bill,199
2010,03,reform,125
2010,03,senate,120
2010,03,legislation,98
2010,03,insurance,90
2010,03,congress,86
2010,03,new,78
2010,03,suite,78
2014,03,senate,195
2014,03,health,189
2014,03,kansas,188
2014,03,care,186
2014,03,senator,159
2014,03,city,148
2014,03,federal,144
2014,03,obamacare,131
2014,03,act,128
2014,03,march,125
2010,04,new,109
2010,04,senator,81
2010,04,health,76
2010,04,legislation,63
2010,04,senate,61
2010,04,bill,59
2010,04,tax,56
2010,04,care,55
2010,04,federal,51
2010,04,congress,48
2010,11,congress,32
2010,11,cidimagejpgccbcacf,22
2010,11,new,21
2010,11,main,21
2010,11,health,21
2010,11,updates,20
2010,11,law,20
2010,11,care,20
2010,11,jobs,19
2010,11,year,17
2015,02,senate,118
2015,02,congress,75
2015,02,act,75
2015,02,senator,71
2015,02,federal,62
2015,02,sen,58
2015,02,bill,58
2015,02,legislation,57
2015,02,budget,57
2015,02,suite,56
2015,05,senate,192
2015,05,act,119
2015,05,iran,117
2015,05,senator,117
2015,05,bill,112
2015,05,legislation,108
2015,05,congress,107
2015,05,national,88
2015,05,portman,86
2015,05,nuclear,81
2014,08,veterans,124
2014,08,care,87
2014,08,senate,81
2014,08,bill,79
2014,08,legislation,78
2014,08,also,75
2014,08,va,71
2014,08,kansas,63
2014,08,children,60
2014,08,act,59
2010,09,health,78
2010,09,new,73
2010,09,care,66
2010,09,jobs,66
2010,09,tax,66
2010,09,congress,51
2010,09,businesses,51
2010,09,business,46
2010,09,law,45
2010,09,small,44
2012,01,senator,142
2012,01,senate,107
2012,01,state,103
2012,01,kansas,77
2012,01,debt,76
2012,01,american,75
2012,01,jobs,73
2012,01,congress,73
2012,01,year,65
2012,01,energy,64
2014,04,senator,127
2014,04,health,111
2014,04,senate,107
2014,04,care,95
2014,04,kansas,84
2014,04,federal,84
2014,04,act,78
2014,04,county,75
2014,04,april,74
2014,04,obamacare,73
2009,08,senator,21
2009,08,read,14
2009,08,health,13
2009,08,collins,12
2009,08,afghanistan,10
2009,08,iraq,9
2009,08,care,9
2009,08,general,8
2009,08,sanders,7
2009,08,plane,5
2009,09,health,168
2009,09,care,143
2009,09,texas,119
2009,09,senate,85
2009,09,reform,74
2009,09,suite,68
2009,09,main,63
2009,09,acorn,61
2009,09,new,57
2009,09,federal,54
2011,03,kansas,161
2011,03,spending,131
2011,03,budget,111
2011,03,federal,110
2011,03,senate,108
2011,03,health,106
2011,03,wichita,94
2011,03,senator,93
2011,03,care,92
2011,03,city,90
2010,12,senate,136
2010,12,tax,120
2010,12,senator,96
2010,12,new,73
2010,12,congress,72
2010,12,bill,68
2010,12,act,61
2010,12,federal,53
2010,12,year,49
2010,12,law,46
2011,05,senator,160
2011,05,energy,111
2011,05,senate,111
2011,05,kansas,106
2011,05,collins,104
2011,05,address,90
2011,05,national,87
2011,05,county,86
2011,05,time,86
2011,05,american,79
2011,12,act,77
2011,12,senate,74
2011,12,federal,58
2011,12,year,51
2011,12,senator,48
2011,12,jobs,46
2011,12,pipeline,45
2011,12,also,45
2011,12,kansas,45
2011,12,legislation,43
2010,08,senate,23
2010,08,iraq,21
2010,08,security,21
2010,08,suite,19
2010,08,social,17
2010,08,main,17
2010,08,ok,16
2010,08,iran,16
2010,08,new,15
2010,08,states,15
2014,09,senator,60
2014,09,senate,57
2014,09,isis,55
2014,09,american,54
2014,09,states,44
2014,09,act,44
2014,09,state,39
2014,09,congress,37
2014,09,energy,37
2014,09,bill,36
2010,02,health,119
2010,02,senate,89
2010,02,senator,81
2010,02,care,76
2010,02,congress,74
2010,02,new,67
2010,02,budget,62
2010,02,help,61
2010,02,federal,60
2010,02,year,57
2009,12,bill,197
2009,12,health,179
2009,12,care,159
2009,12,senate,132
2009,12,senator,91
2009,12,texas,86
2009,12,new,77
2009,12,reform,76
2009,12,reid,70
2009,12,suite,70
