senator_rank,congress_numbers,gender_label,osid,id,sortname,Body,startdate,district,title,title_long,current,state,Address,Date,party,pvsid,leadership_title,website,description,firstname,twitterid,middlename,lastname,bioguideid,phone,birthday,link,youtubeid,nickname,role_type,cspanid,role_type_label,enddate,name,gender,namemod,Month,caucus,senator_class,Year,Name,Subject
,114,Female,N00009795,43353,"Miller, Candice (Rep.) [R-MI10]","Click here to open this e-mail in its own browser window  Click here to open a plain text version of this email  News from Representative Candice Miller  June 2, 2015 Rep. Miller on DHSs International Security Efforts Miller highlights DHSs effort to curb migration of Unaccompanied Alien Children  (Click to watch opening statement)  WASHINGTON  U.S. Representative Candice Miller (MI-10), Vice Chair of the Committee on Homeland Security and Chairman of the Subcommittee on Border and Maritime Security, issued the following statement after conducting a hearing on the Department of Homeland Securitys (DHS) international security programs: The Constitution makes it clear the federal governments first and foremost responsibility is to provide for the common defense, a charge made increasingly difficult every day by the ever-evolving terror threats that originate overseas, which must be met with evolving security measures at home and abroad. Today, we learned about the Department of Homeland Securitys international efforts to detect terror threats. Currently, DHS has 1,800 personnel stationed in 77 foreign countries across the globe who, working closely with the Department of State, implement programs such as the Visa Security Program, as well as preclearance operations overseas  recently expanded to include airports in 15 countries. In a pre-9/11 world, preclearance was almost exclusively used to facilitate trade and tourism. However, since then, preclearance operations have shifted focus to counterterrorism and preventing the travel of foreign fighters bound for the United States. When done sensibly, preclearance operations can significantly improve our national security, helping us thwart terror plots long before they reach our borders. However, as we learned from the mistakes of the Abu Dhabi agreement, it is important we have coordination between the Executive Branch and Congress regarding the expansion of these operations, which is why I co-sponsored the Preclearance Authorization Act of 2015 (H.R. 998) that requires Congressional notification before establishing new preclearance sites. Additionally, today, we also discussed DHSs efforts to combat the flow of Unaccompanied Alien Children and families from Central America. It is, in large part, due to the efforts of DHS-led units, known as Transnational Criminal Investigative Units, along with increased enforcement by Mexican authorities, that we have seen a sharp decrease in the migration of UACs across our Southern border. I am encouraged by this decline and am hopeful we will continue to see a downward trend. The Department of Homeland Securitys presence overseas and the resources it employs internationally are critical to remaining one step ahead of those who threaten the American ideals we hold dear. However, it is also very costly. Therefore, we must ensure taxpayer resources are used in the most efficient way, maximizing our Homeland security. ###   CONNECT WITH US     Washington D.C. Office 320 Cannon House Office Building Washington, DC 20515 Phone: (202) 225-2106 Fax: (202) 226-1169 Shelby Township Office 48701 Van Dyke Ave. Shelby Township, MI 48317 Phone: (586) 997-5010 Fax: (586) 997-5013 Unsubscribe  | Privacy Policy    ",2015-01-06,10,Rep.,Representative,true,MI,imami10@mail.house.gov,06/02/2015,Republican,2062,,http://candicemiller.house.gov,Representative for Michigan's 10th congressional district,Candice,CandiceMiller,S.,Miller,M001150,202-225-2106,1954-05-07,https://www.govtrack.us/congress/members/candice_miller/400276,candicemi10,,representative,1003594,Representative,2017-01-03,Rep. Candice Miller [R-MI10],female,,06,,,2015,Rep. Candice S. Miller,=?iso-8859-1?Q?Rep._Miller_on_DHS's_International_Security_Efforts?=
,114,Female,N00031005,43553,"Hartzler, Vicky (Rep.) [R-MO4]","Click here to open this e-mail in its own browser window  Click here to open a plain text version of this email   About Me  | Contact Me  | Serving You  | Media Center  | Legislative Work  | Our District  | Resources  Dear Friend, After honoring those who have given their all for their country on Memorial Day, I had the opportunity to visit several vital assets to our national defense this week. It was a pleasure to visit with future leaders in our military when I visited the Air Force Academy and met with some of the cadets I have had the privilege of nominating for this esteemed institution. It was great to see these outstanding young people from Missouri's 4th Congressional District doing so well and leading the way as future officers in the Air Force. They are making us proud and will serve our nation well.  Vicky with Air Force Academy cadets Elisha Phillips, Stephanie Ohms, & Hunter Richardson in front of the iconic Academy Cadet Chapel. I was also able to visit Peterson Air Force Base, home of U.S. Northern Command (USNORTHCOM) and the North American Aerospace Defense Command (NORAD) to meet with commanders and see firsthand the unmatched capabilities of the forces protecting the air above North America. They keep a watch on the skies and have abilities to conduct missile defense should we ever need it. I also got to see their companion operation in Cheyenne Mountain. It is an impressive facility built inside a mountain during the Cold War to protect capabilities in the event of a nuclear blast. I hope and pray we never have to use the facility under those circumstances but it is comforting knowing they are there.   (top) Vicky outside the Cheyenne Mountain Complex entrance. (bottom) Vicky with Admiral Gortney, Commander, NORAD/USNORTHCOM In other news, this week brought some disturbing news from the Obama administration. The EPA and the Army Corps of Engineers have moved to make the overreaching Waters of the U.S. rule final. This rule could bring roadside ditches, manmade ponds, and even irrigation runoff from individual farms under federal jurisdiction. As you know, I have called for the end of this rule  many times and co-sponsored legislation  that would require the EPA to withdraw the rule. That bill has passed the House and is currently sitting in the Senate. I strongly urge my colleagues in the Senate to take up and pass this bill quickly so we can put an end to this federal land grab. Additionally, this week brought some temperamental weather to Missouris Fourth. As we continue to see heavy rains and high winds, we were reminded of the destruction that tornadoes can bring with them as one recently touched down in Lowry City  . My staff was quickly in touch with St. Clair County Presiding Commissioner Robert Salmon to gather details and be share information should anyone need the assistance of my office.  A picture of the destruction brought by the tornado in Lowry City last week. I am very thankful no one was injured and damage was limited as a result of this tornado; but want to encourage everyone to be prepared for the tornado season  have a plan  and know that my office is here to help  should it be needed. Finally, this Sunday marks the one-year anniversary of the Taliban Five-Sergeant Bergdahl prisoner swap. One year ago, President Obama transferred five senior Taliban terrorists from Guantanamo Bay to Qatar. Those terrorists will be free to return to the fight on Sunday unless a new agreement is worked out with Qatar to keep them beyond the expiration date. Congress and the American People are right to be concerned about the increased risk to our Nations safety now that these men are no longer securely held at GTMO.  (click to play video) Vicky chairs an Oversight and Investigations Subcommittee hearing in February, 2015. Since the transfer took place, my House Armed Services subcommittee, Oversight and Investigations, has been investigating the swap. We want to know why the President and his advisors felt they could ignore a law designed to provide the peoples representatives advance warning of such transfers and how they came to the decision that releasing five Taliban leaders was a good idea. Though our investigation has been hampered by the White House and the State Department, which have refused to allow DOD to turn over material critical to the investigation, I remain committed to uncovering why and how this swap came about. Have a great week,  Vicky Hartzler Member of Congress This email was sent from an unmonitored email address. Please do not reply to this email. If you would like to contact Congresswoman Hartzler, please do so by visiting here website here:  STAY CONNECTED     UPCOMING EVENTS Check my webpage for an updated list of events going on around the district!   POLL OF THE WEEK Click to take the poll of the week!  E-SURVEY Have you interacted with a member of my staff? I want to hear from you about it. Click on the link to fill out a brief survey.   Washington, DC 2235 Rayburn HOB Washington, DC 20515 Phone: (202) 225-2876 Fax: (202) 225-0148 Harrisonville Office 1909 N. Commercial St. Harrisonville, MO 64701 Phone: (816) 884-3411 Fax: (816) 884-3163 Columbia Office 2415 Carter Lane Suite 4 Columbia, MO 65201 Phone: (573) 442-9311 Fax: (573) 442-9309 Lebanon Office 219 North Adams Street Lebanon, MO 65536 Phone: (417) 532-5582 Fax: (417) 532-3886 Unsubscribe  | Privacy Policy    ",2015-01-06,4,Rep.,Representative,true,MO,mo04vhima@mail.house.gov,05/30/2015,Republican,8783,,http://hartzler.house.gov,Representative for Missouri's 4th congressional district,Vicky,RepHartzler,,Hartzler,H001053,202-225-2876,1960-10-13,https://www.govtrack.us/congress/members/vicky_hartzler/412444,repvickyhartzler,,representative,95050,Representative,2017-01-03,Rep. Vicky Hartzler [R-MO4],female,,05,,,2015,Representative Vicky Hartzler,View from the Capitol - Tornado Season Edition
,114,Female,N00029649,43467,"Speier, Jackie (Rep.) [D-CA14]","  Congresswoman Jackie Speier                         Trouble viewing this email? Click here to open this message in your browser.                         May 30, 2015  Dear Friends,           I would like to share this week&rsquo;s edition of Jackie&rsquo;s Reading Picks, a compilation of articles that have piqued my interest over the week. You can find this week&rsquo;s selection and others on my website in the  section.   Happy reading!  All the best,                Cuba Has A Lung Cancer Vaccine, And Now It Could Be Coming To The USA  By CAROLINE REID, IFL Science!   Cuba launched the world's first lung cancer vaccine, Cimavax, to the public back in 2011. Each shot costs about $1, but the Cuban government has made the vaccine available to the public for free. Now it's 2015, and other countries are starting to get curious and want to get their hands on it too.   The Center of Molecular Immunology, Cuba, has finalized agreements with the Roswell Park Cancer Institute, USA, to embark on a project that aims to develop a lung cancer vaccine that was first made in Cuba and begin to introduce it into the United States. This will involve gaining Food and Drug Administration (FDA) approval for the vaccine and starting clinical trials.   Read more       White House Warns Insurers About Surcharges and Gaps for Contraception  by ROBERT PEAR, NY Times   The Obama administration on Monday put health insurance companies on notice that they must cover all forms of female contraception, including the patch and intrauterine devices, without imposing co-payments or other charges.   In the last month, the National Women&rsquo;s Law Center and the Kaiser Family Foundation issued separate reports finding that insurers had often flouted a federal requirement to provide free coverage of birth control for women under the Affordable Care Act.   Senator Patty Murray of Washington, the senior Democrat on the Senate health committee, and Gretchen Borchelt, a vice president of the women&rsquo;s law center, praised the action by the administration.   Read more         ""You Cannot Claim to Have Any Ideas About Family Values Unless You Value Fathers"" by REBECCA TRAISTER, New Republic   It&rsquo;s a strange season in America, at least if you care about feminist social policies that have for decades felt wholly out of reach. It&rsquo;s not just Kirsten Gillibrand and Rosa DeLauro and Hillary Clinton advocating for paid family leave; Barack Obama discussed it in the State of the Union. Bernie Sanders is running for president and talking about equal pay for women. Bill de Blasio has mandated free pre-K in New York City. And Josh Levs, a 43-year-old CNN reporter has written a book, All In: How Our Work-First Culture Fails Dads, Families, and Businesses &ndash; and How We Can Fix It Together, arguing that it is incumbent on men to become part of a conversation about gender equality in homes and in workplaces. Levs is a former NPR reporter who has, at CNN, developed a beat reporting on issues surrounding parenthood. In 2013, he filed an EEOC claim against Time Warner when, after the early birth of his third child, he was denied the ten paid weeks offered to mothers and to adoptive or surrogate fathers. He spoke to The New Republic by phone.   Read more       Outside Man By JESSE KATZ, California Sunday  Scott Budnick produced the Hangover movies. He&rsquo;s also one of the most effective advocates for prison reform in California. It doesn&rsquo;t make any sense until you see him at work.   Read more         The State of the Bailout Tracking Every Dollar and Every Recipient  By PAUL KIEL AND DAN NGUYEN, ProPublica   Below is a complete breakdown of the latest numbers in our bailout database. We&rsquo;re tracking every dollar and every recipient for both the broader $700 billion TARP bill and the separate bailout of Fannie Mae and Freddie Mac.    Read more                          Washington D.C. Office 2465 Rayburn House Office Building Washington, DC 20515 Phone: (202) 225-3531 Fax: (202) 226-4183   San Mateo Office 155 Bovet Road, Suite 780 San Mateo, CA 94402  Phone: (650) 342-0300 Fax: (650) 375-8270                                      ",2015-01-06,14,Rep.,Representative,true,CA,congresswoman.speier@capitolenews.com,05/30/2015,Democrat,8425,,http://speier.house.gov,Representative for California's 14th congressional district,Jackie,RepSpeier,,Speier,S001175,202-225-3531,1950-05-14,https://www.govtrack.us/congress/members/jackie_speier/412259,jackiespeierca12,,representative,1027627,Representative,2017-01-03,Rep. Jackie Speier [D-CA14],female,,05,,,2015,Congresswoman Jackie Speier,Jackie's Reading Picks
,114,Male,N00035282,43660,"Smith, Jason (Rep.) [R-MO8]",This is a Mulit Part MIME message. Your mail client does not support MIME or you have disabled this feature. This is a plain text version of the content. ,2015-01-06,8,Rep.,Representative,true,MO,jasontsmith@mail.house.gov,05/30/2015,Republican,59318,,http://jasonsmith.house.gov,Representative for Missouri's 8th congressional district,Jason,RepJasonSmith,T.,Smith,S001195,202-225-4404,1980-06-16,https://www.govtrack.us/congress/members/jason_smith/412596,RepJasonSmith,,representative,71083,Representative,2017-01-03,Rep. Jason Smith [R-MO8],male,,05,,,2015,Congressman Jason Smith,Congressman Jason Smith Capitol Report: Defending the Rule of Law
,114,Male,N00033518,43615,"Collins, Doug (Rep.) [R-GA9]","Congressman Doug Collins Dear Lindsey,  This week started with a Memorial Day tribute at Lula, Georgia, and ended with a celebration of the best of our district at North Georgia Christian School. In between, I traveled Northeast Georgia's counties to hear from residents, before I return to Washington, D.C., to make their concerns and ideas my business in Congress.  At Lula, we honored our country's fallen heroes [link 1], who fought and died protecting our freedom. We vowed to continue their mission -- to lead lives of integrity and respect for America's founding values. The next day, I visited Gainesville's Fire and Police Departments [link 2], where Hall County public servants work to ensure our safety. In White County, they told me about ways Congress can help. [link 3]  Recently, I introduced a bill that would allow federal law enforcement officers to carry their firearms in the event of a federal funding lapse and another to improve mental health training for local police. I've voted to lower taxes and regulations. As my friends at Overdrive Logistics told me on Thursday, the Gainesville trucking company could hire more employees, if not for federal interference.  I attended a Ministers Appreciation Banquet, where we prayed for our friends and family. And at North Georgia Christian School, my week ended like it began -- on a patriotic note. Addressing the graduating class, I emphasized personal responsibility, faith and perseverance, a conservative message I'll carry with me to Congress, along with all my stories of hardworking Northeast Georgians. Sincerely, Doug Collins Washington D.C. Office 513 Cannon House Office Building Washington, DC 20515 Phone: (202) 225-9893 Gainesville Office 210 Washington St. NW, Suite 202 Gainesville, GA 30501 Phone: (770) 297-3388 ",2015-01-06,9,Rep.,Representative,true,GA,doug.collins@congressnewsletter.net,05/30/2015,Republican,67851,,http://dougcollins.house.gov,Representative for Georgia's 9th congressional district,Doug,RepDougCollins,,Collins,C001093,202-225-9893,1966-08-16,https://www.govtrack.us/congress/members/doug_collins/412531,repdougcollins,,representative,79719,Representative,2017-01-03,Rep. Doug Collins [R-GA9],male,,05,,,2015,Congressman Doug Collins,From Northeast Georgia to the Capitol
,114,Male,N00035628,43706,"Hardy, Cresent (Rep.) [R-NV4]",[EMAIL-TEMPLATE-BODY] Unsubscribe: ,2015-01-06,4,Rep.,Representative,true,NV,Hardy.Newsletter@mail.house.gov,05/31/2015,Republican,,,https://hardy.house.gov,Representative for Nevada's 4th congressional district,Cresent,RepHardy,,Hardy,H001070,202-225-9894,1957-06-23,https://www.govtrack.us/congress/members/cresent_hardy/412645,RepHardy,,representative,,Representative,2017-01-03,Rep. Cresent Hardy [R-NV4],male,,05,,,2015,Congressman Cresent Hardy,Week In Review - Congressman Hardy News
,114,Male,N00030949,43516,"Reed, Tom (Rep.) [R-NY23]",[EMAIL-TEMPLATE-BODY] Unsubscribe: ,2015-01-06,23,Rep.,Representative,true,NY,113-ny23tr.inbox@mail.house.gov,05/31/2015,Republican,127046,,http://reed.house.gov,Representative for New York's 23rd congressional district,Tom,RepTomReed,W.,Reed,R000585,202-225-3161,1971-11-18,https://www.govtrack.us/congress/members/tom_reed/412393,CongressmanTomReed,,representative,623468,Representative,2017-01-03,Rep. Tom Reed [R-NY23],male,II,05,,,2015,Rep. Tom Reed,Update from Rep. Tom Reed
,114,Male,N00035607,43697,"Trott, Dave (Rep.) [R-MI11]", Email Update May 31. Update Profile/Email Address Instant removal with SafeUnsubscribe(TM) Privacy Policy: Online Marketing by Constant Contact(R)  Congressman Dave Trott | 1722 Longworth House Office Building | Washington | DC | 20515,2015-01-06,11,Rep.,Representative,true,MI,mi11newsletter@mail.house.gov,05/31/2015,Republican,,,https://trott.house.gov,Representative for Michigan's 11th congressional district,Dave,repdavetrott,,Trott,T000475,202-225-8171,1960-10-16,https://www.govtrack.us/congress/members/dave_trott/412636,,,representative,,Representative,2017-01-03,Rep. Dave Trott [R-MI11],male,,05,,,2015,Rep. Dave Trott,Get all the facts:
,114,Male,N00033987,43597,"LaMalfa, Doug (Rep.) [R-CA1]","Congressman Doug Lamalfa Dear Lindsey, Last week on Memorial Day, America honored our fallen heroes, those who paid the ultimate sacrifice. Each and every one of us is indebted to these men and women and their families for the freedom we enjoy. While we can never repay them for their sacrifice, we can make the necessary reforms to take care of our veterans and their families. The House recently passed several measures to improve services to veterans. One measure, H.R. 474 [link 1], would reauthorize an important program that assists homeless veterans. During the last couple of years the number of homeless veterans has been declining thanks to programs like HUD-VASH, a joint effort between the Departments of Veterans Affairs and Housing and Urban Development. This program provides homeless veterans with housing assistance and a caseworker to help them identify other VA benefits that they may be eligible for, and has directly assisted veterans in Chico and Redding. I am proud to support this bill and will always advocate for smart and effective programs that help our veterans. Below are some recent highlights from DC and around our district. To stay in touch with me throughout the week and to share your thoughts with me, follow me on Facebook [link 2] and email me via my website [link 3]. Sincerely, [image = [image = day 15.jpg] On Memorial Day, Rep. LaMalfa attends Chico Glen Oaks Cemetery and discusses necessary improvements to veterans' services with Floyd Morrill, a WWII veteran who fought on Omaha CemeteryBeach on D-Day.  [image = Rep. LaMalfa congratulates Col. Bud Anderson of Auburn at the Congressional Gold Medal Ceremony held in Emancipation Hall. Col. Anderson is a WWII Triple Ace who flew 116 combat missions and destroyed 16-1/4 enemy aircraft in Europe. To view my floor speech honoring him, please click here [link 4].  [image = laird.JPG] In Auburn, Rep. LaMalfa and Senator Jim Nielsen greet Diz Laird, a WWII Ace and a friend of Col. Anderson after speaking at the unveiling of a new bronze Veteran Memorial of Col. Anderson and Old Crow  his famous P-51 Mustang fighter plane. *Wasteful Government Spending Item of the Week* *More Taxpayer Puppeteering*  *Cost* $30,000.00 *Agency* National Endowment for the Arts *Summary* Grant awarded to the Sandglass Center for Puppetry and Theatre Research to support a ten day international puppet festival in Vermont. *Reason for Funding* The puppet festival is part of the Sandglass Centers Art Works grant program, which seeks to award organizations that create art programs meeting the highest standard of excellence. *Source* National Endowment for the Arts [link 5] [link 6] E-mail Updates* *Yes, please periodically send me e-mail updates.** [image = [link 7] *By subscribing to my e-mail updates, you are authorizing me to send regular e-mail updates from my office to your e-mail account. [image = on Facebook [link 8] Tell a Friend* Survey/Question [survey] [image = [link 10] [image = [link 11] [image = [image = [link 12] ---------------------- footnotes ---------------------- [survey] [link 1] [link 2] [link 3] [link 4] [link 5] [link 6] [link 7] [link 8] [link 9] [link 10] [link 11] [link 12] Washington D.C. Office 322 Cannon HOB Washington, DC 20515 Phone: 202-225-3076 Fax: (202) 226-0552 Oroville District Office 1453 Downer Street,Suite A Oroville, CA 95965 Phone: (530) 534-7100 Fax: (530) 534-7800 Redding District Office 2885 Churn Creek Rd., Suite C Redding, CA 96002 Phone: (530) 223-5898 Fax: (530) 605-4339 Auburn District Office 13626 New Airport Rd., Ste 106 Auburn, CA 95602 Phone: (530) 878-5035 Fax: (530) 878-5037 Unsubscribe - Privacy Policy - ",2015-01-06,1,Rep.,Representative,true,CA,Doug.LaMalfa@congressnewsletter.net,05/31/2015,Republican,29713,,http://lamalfa.house.gov,Representative for California's 1st congressional district,Doug,RepLaMalfa,,LaMalfa,L000578,202-225-3076,1960-07-02,https://www.govtrack.us/congress/members/doug_lamalfa/412510,RepLaMalfa,,representative,68493,Representative,2017-01-03,Rep. Doug LaMalfa [R-CA1],male,,05,,,2015,Doug LaMalfa,A Message from Congressman LaMalfa
,114,Male,N00032457,43534,"Scott, Austin (Rep.) [R-GA8]","Click here to open this e-mail in its own browser window  Click here to open a plain text version of this email    Dear Friend, Stay Connected  ""Like"" My Page  Twitter  You Tube  Email Austin Over the years, I've consistently heard from our counties and local officials that funding for things like infrastructure, sewer, roads, and emergency response equipment is a top need, but the federal grant application process can be daunting, complicated, and competitive. To assist our local governments and officials, I held a Grants Fair and Workshop  .  This workshop brought together key representatives and information from federal and state agencies to hopefully simplify the grant application process. Did you miss our workshop or do you still have more questions about federal grants? Please visit my website here  or call my Tifton Office  for assistance at (229) 396-5175.  A Republican Replacement to Obamacare: This year, I co-chaired a task force of conservative Members to offer a patient-centered, free-market alternative to the President's unaffordable healthcare law. On Tuesday, we will introduce our Obamacare replacement plan, which completely repeals Obamacare, gets rid of mandates  , makes it easier for families to buy health insurance, incentivizes innovation, protects the lives of the unborn  and religious freedom, and adds no new taxes  . Stay tuned to my facebook page  and next week's enewsletter for more information! Sincerely,  Austin Scott Member of Congress  NOTE: Please DO NOT respond to this email as this mailbox is unattended. To contact my office please click here.  Unsubscribe  | Privacy   ",2015-01-06,8,Rep.,Representative,true,GA,GA08ASima@mail.house.gov,05/31/2015,Republican,11812,,http://austinscott.house.gov,Representative for Georgia's 8th congressional district,Austin,AustinScottGA08,,Scott,S001189,202-225-6531,1969-12-10,https://www.govtrack.us/congress/members/austin_scott/412417,RepAustinScott,,representative,623344,Representative,2017-01-03,Rep. Austin Scott [R-GA8],male,,05,,,2015,Austin Scott,Helping our local communities
